 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_4170.JPG:Cali_Pts	0	170.000	0.000	170.000	170.000	170.000	802.000	761.000	0.000	802	761	1	1	-114.193	0.000	802.000	761.000	0.000	0.000	302.576
2	IMG_4170.JPG:Cali_Pts	0	186.000	0.000	186.000	186.000	186.000	804.000	1065.000	0.000	804	1065	1	1	-114.193	0.000	804.000	1065.000	0.000	0.000	302.576
3	IMG_4170.JPG:Cali_Pts	0	160.000	0.000	160.000	160.000	160.000	812.000	1394.000	0.000	812	1394	1	1	-114.193	0.000	812.000	1394.000	0.000	0.000	302.576
4	IMG_4170.JPG:Cali_Pts	0	240.000	0.000	240.000	240.000	240.000	823.000	1701.000	0.000	823	1701	1	1	-114.193	0.000	823.000	1701.000	0.000	0.000	302.576
5	IMG_4170.JPG:M1	305	97.006	15.034	89.158	71.489	186.000	803.000	913.000	304.007	802	761	3	305	-89.623	304.007	802.000	761.000	90.377	0.000	304.007
6	IMG_4170.JPG:M2	330	184.732	50.830	251.138	123.826	253.933	808.000	1229.500	329.097	804	1065	9	330	-88.607	329.097	804.000	1065.000	91.393	0.000	329.097
7	IMG_4170.JPG:M3	308	115.273	27.313	139.735	68.309	240.000	817.500	1547.500	307.197	812	1394	12	308	-87.948	307.197	812.000	1394.000	92.052	0.000	307.197
8	IMG_4170.JPG:Pa1	212713	109.237	22.688	108.000	39.000	255.000	1049.651	588.320	1904.003	756	333	636	519	-114.193	640.054	762.000	521.000	169.831	481.534	302.576
