 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_4204.JPG:Cali_Pts	0	144.000	0.000	144.000	144.000	144.000	1465.000	147.000	0.000	1465	147	1	1	-114.193	0.000	1465.000	147.000	0.000	0.000	302.576
2	IMG_4204.JPG:Cali_Pts	0	178.000	0.000	178.000	178.000	178.000	1440.000	430.000	0.000	1440	430	1	1	-114.193	0.000	1440.000	430.000	0.000	0.000	302.576
3	IMG_4204.JPG:Cali_Pts	0	142.000	0.000	142.000	142.000	142.000	1415.000	729.000	0.000	1415	729	1	1	-114.193	0.000	1415.000	729.000	0.000	0.000	302.576
4	IMG_4204.JPG:Cali_Pts	0	135.000	0.000	135.000	135.000	135.000	1388.000	1034.000	0.000	1388	1034	1	1	-114.193	0.000	1388.000	1034.000	0.000	0.000	302.576
5	IMG_4204.JPG:Cali_Pts	0	119.000	0.000	119.000	119.000	119.000	1357.000	1337.000	0.000	1357	1337	1	1	-114.193	0.000	1357.000	1337.000	0.000	0.000	302.576
6	IMG_4204.JPG:M1	285	182.685	49.545	129.383	117.991	253.643	1452.500	288.500	284.102	1440	147	26	284	-95.048	284.102	1440.000	430.000	84.952	0.000	284.102
7	IMG_4204.JPG:M2	301	101.599	10.828	97.542	84.107	178.333	1427.500	579.500	300.043	1415	430	26	300	-94.779	300.043	1415.000	729.000	85.221	0.000	300.043
8	IMG_4204.JPG:M3	307	191.496	58.305	254.725	114.255	255.000	1401.500	881.500	306.193	1388	729	28	306	-95.059	306.193	1388.000	1034.000	84.941	0.000	306.193
9	IMG_4204.JPG:M4	306	104.602	11.565	97.566	87.738	151.431	1372.500	1185.500	304.582	1357	1034	32	304	-95.842	304.582	1357.000	1337.000	84.158	0.000	304.582
10	IMG_4204.JPG:Pa1	340129	75.304	27.329	55.000	20.000	255.000	2981.942	1549.612	2191.929	2645	1237	728	621	-114.193	743.132	2645.000	1652.000	11.960	620.553	302.576
