 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7005.JPG:Pa1b	389831	126.229	37.584	123.000	27.000	236.000	2076.807	1788.817	4499.755	1701	1426	780	794	-109.771	862.119	1883.000	2192.000	50.790	644.507	311.885
2	IMG_7005.JPG:Pa3bb	18159	209.205	36.525	235.000	77.000	245.000	1176.035	757.725	655.392	1106	670	134	178	-109.771	190.394	1152.000	847.000	66.801	133.437	311.885
3	IMG_7005.JPG:Pa4b	384252	114.052	29.554	104.000	26.000	221.000	2402.927	659.132	2510.117	2086	234	630	837	-109.771	874.575	2210.000	245.000	119.525	611.388	311.885
4	IMG_7005.JPG:Pa2b	196751	91.347	28.261	85.000	26.000	213.000	1966.576	501.911	2148.562	1715	194	475	670	-109.771	670.671	2016.000	864.000	87.436	447.778	311.885
5	IMG_7005.JPG:Pa5b	116114	120.811	34.010	112.000	22.000	236.000	1343.437	1448.859	1538.701	1162	1199	364	465	-109.771	487.822	1298.000	1199.000	111.780	350.789	311.885
6	IMG_7005.JPG:M1	317	142.600	69.805	69.183	52.868	223.345	1375.000	941.333	315.570	1318	794	115	295	68.693	315.570	1317.667	1088.333	68.693	0.000	315.570
7	IMG_7005.JPG:M2	314	63.252	6.748	57.091	53.781	108.447	1489.000	649.333	312.891	1434	503	111	294	-110.713	312.891	1433.667	795.667	69.287	0.000	312.891
8	IMG_7005.JPG:M3	269	126.328	59.616	63.681	47.538	216.213	1593.667	377.667	268.279	1545	253	98	251	-111.273	268.279	1545.000	502.667	68.727	0.000	268.279
