 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7054.JPG:Pa1b	153827	78.743	30.489	50.000	23.000	209.000	596.882	2359.705	1629.504	354	2148	490	417	-97.977	498.747	354.000	2310.000	169.253	412.259	317.068
2	IMG_7054.JPG:Pa2b	63758	105.242	41.964	69.000	25.000	225.000	1346.034	1812.444	2301.916	1120	1646	397	379	-97.977	422.916	1252.000	2023.000	59.129	321.464	317.068
3	IMG_7054.JPG:Pa3b	63377	86.853	31.166	66.000	25.000	222.000	1547.180	1584.037	1467.631	1343	1433	366	298	-97.977	381.434	1343.000	1627.000	17.390	271.599	317.068
4	IMG_7054.JPG:Pa5b	30926	123.058	38.755	97.000	33.000	221.000	962.248	1326.387	1281.586	817	1236	278	180	-97.977	299.842	818.000	1271.000	151.298	158.493	317.068
5	IMG_7054.JPG:Pa6b	50308	148.055	44.553	118.000	44.000	241.000	271.893	1375.905	1292.031	139	1216	268	342	-97.977	357.200	233.000	1555.000	65.875	251.665	317.068
6	IMG_7054.JPG:Pa7b	127369	103.776	31.191	95.000	19.000	219.000	926.799	530.174	2396.799	739	288	401	502	-97.977	506.693	893.000	790.000	76.649	354.539	317.068
7	IMG_7054.JPG:Pa8b	85772	99.108	32.969	77.000	28.000	202.000	1919.952	765.620	1502.379	1736	549	352	388	-97.977	406.282	1842.000	549.000	120.794	326.599	317.068
8	IMG_7054.JPG:Pa9b	11397	88.563	29.636	75.000	23.000	188.000	1599.195	1313.998	496.350	1539	1246	135	162	-97.977	173.104	1575.000	1399.000	55.116	98.921	317.068
9	IMG_7054.JPG:Pa10b	35814	89.814	29.677	77.000	23.000	210.000	1861.085	1330.461	1109.800	1766	1186	214	273	-97.977	277.027	1834.000	1189.000	102.933	211.491	317.068
10	IMG_7054.JPG:Pa11b	84222	99.022	40.501	64.000	26.000	221.000	2213.507	1140.531	2431.594	2029	896	368	423	-97.977	433.230	2140.000	1319.000	76.926	351.080	317.068
11	IMG_7054.JPG:Pa12b	49656	139.821	41.503	112.000	47.000	236.000	2657.498	1420.396	927.722	2538	1260	243	316	-97.977	319.188	2642.000	1576.000	81.895	233.088	317.068
12	IMG_7054.JPG:Pa13b	61801	97.990	38.045	72.000	29.000	231.000	2609.405	1774.500	1120.324	2449	1625	339	282	-90.798	344.536	2449.000	1864.000	28.425	245.063	287.028
13	IMG_7054.JPG:Pa14b	18512	122.509	39.603	105.000	36.000	221.000	1782.760	1795.224	521.010	1713	1702	147	169	0.000	180.405	1738.000	1716.000	129.602	142.270	0.000
14	IMG_7054.JPG:Pa15b	58142	99.973	38.961	60.000	23.000	215.000	2041.042	1960.024	1008.599	1922	1797	240	353	0.000	353.362	2034.000	2150.000	87.405	240.000	0.000
15	IMG_7054.JPG:Pa16b	80167	97.266	29.204	76.000	32.000	227.000	3145.801	1633.938	1483.271	2982	1440	311	400	0.000	410.221	3096.000	1840.000	77.183	303.496	0.000
16	IMG_7054.JPG:Pa17b	31517	124.883	29.815	118.000	50.000	238.000	2987.430	1154.224	864.255	2885	1008	182	268	0.000	279.557	2930.000	1274.000	72.084	170.437	0.000
17	IMG_7054.JPG:M1	337	60.365	9.738	57.384	47.929	166.000	2249.500	1972.000	336.013	2248	1804	4	337	90.512	336.013	2248.000	1804.000	90.512	4.441E-16	336.013
18	IMG_7054.JPG:M2	331	142.941	63.049	212.897	45.909	216.564	2243.500	1642.000	330.123	2239	1477	10	331	91.562	330.123	2239.000	1477.000	91.562	0.000	330.123
19	IMG_7054.JPG:M3	305	120.363	61.262	63.991	46.918	205.855	2211.500	1009.500	303.595	2202	858	20	304	-86.412	303.595	2202.000	858.000	93.588	0.000	303.595
20	IMG_7054.JPG:M4	320	56.343	5.923	56.721	40.135	107.000	2229.500	1317.000	318.567	2220	1158	20	319	-86.581	318.567	2220.000	1158.000	93.419	0.000	318.567
