 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7047.JPG:Pa1b	95511	76.764	29.319	67.000	15.000	208.000	1158.948	1766.716	1467.876	962	1572	384	405	-96.380	448.630	1030.000	1580.000	131.114	320.689	317.969
2	IMG_7047.JPG:Pa2b	63395	83.183	31.180	71.000	24.000	198.000	192.214	1192.250	1314.072	37	1048	326	281	-96.380	369.822	43.000	1064.000	141.147	277.193	317.969
3	IMG_7047.JPG:Pa3	13245	82.246	20.338	66.000	40.000	186.000	1379.141	1137.081	457.926	1314	1071	137	132	-96.380	149.913	1317.000	1085.000	134.459	128.935	317.969
4	IMG_7047.JPG:Pa4b	135457	97.632	24.880	89.000	35.000	203.000	1956.390	253.321	1731.057	1749	0	447	502	-96.380	578.122	1749.000	49.000	137.173	342.302	317.969
5	IMG_7047.JPG:Pa5	132888	78.833	23.646	80.000	26.000	184.000	2547.302	843.152	2049.049	2313	646	475	392	-96.380	508.190	2348.000	663.000	149.752	388.793	317.969
6	IMG_7047.JPG:Pa6b	59266	91.679	31.067	61.000	36.000	202.000	3061.126	1109.541	1049.918	2913	929	271	333	-96.380	335.172	3053.000	1261.000	82.112	264.145	317.969
7	IMG_7047.JPG:Pa7	11140	84.766	26.955	77.000	38.000	218.000	2802.597	87.445	434.593	2726	33	156	97	-96.380	162.339	2736.000	33.000	153.277	91.892	317.969
8	IMG_7047.JPG:M1	295	114.595	56.555	62.553	49.322	199.865	1619.333	372.667	293.748	1603	227	33	293	-96.254	293.748	1603.333	518.667	83.746	0.000	293.748
9	IMG_7047.JPG:M2	311	55.643	4.969	53.582	47.561	89.789	1586.667	673.000	310.186	1571	519	32	309	-95.674	310.186	1571.333	827.333	84.326	0.000	310.186
10	IMG_7047.JPG:M3	317	130.740	63.761	199.824	50.417	212.830	1552.000	984.333	315.550	1533	828	39	314	-96.795	315.550	1533.333	1141.000	83.205	0.000	315.550
11	IMG_7047.JPG:M4	318	56.140	6.866	50.518	44.689	108.187	1511.333	1297.667	317.068	1489	1141	45	315	-97.977	317.068	1489.333	1454.667	82.023	0.000	317.068
