 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P5.jpg:e1t	6425	94.200	38.000	172.000	0.000	0.000	651.073	191.105	602	137	105	107	-0.305	134.536	607.000	241.000	48.013	69.224	188.005
2	Adigit_19_C11_N1_P5.jpg:e2	8075	162.312	41.000	252.000	0.000	0.000	542.781	192.415	485	148	119	102	-0.305	124.040	485.000	182.000	163.610	90.455	188.005
3	Adigit_19_C11_N1_P5.jpg:e3	7169	175.104	55.000	248.000	0.000	0.000	464.144	247.913	410	200	118	103	-0.305	121.050	410.000	275.000	12.888	77.882	188.005
4	Adigit_19_C11_N1_P5.jpg:e4	8062	170.292	79.000	218.000	0.000	0.000	431.890	498.888	367	457	120	88	-0.305	129.252	368.000	469.000	152.840	88.000	188.005
5	Adigit_19_C11_N1_P5.jpg:e5t	8018	115.034	65.000	242.000	0.000	0.000	532.312	436.105	474	382	117	105	-0.305	131.244	475.000	392.000	144.615	81.653	188.005
6	Adigit_19_C11_N1_P5.jpg:Cali_Pts	0	102.000	102.000	102.000	224.000	669.333	224.500	669.500	224	669	1	1	-0.305	0.000	224.000	669.333	0.000	0.000	188.005
7	Adigit_19_C11_N1_P5.jpg:Cali_Pts	0	5.000	5.000	5.000	434.667	670.667	434.500	670.500	434	670	1	1	-0.305	0.000	434.667	670.667	0.000	0.000	188.005
8	Adigit_19_C11_N1_P5.jpg:Cali_Pts	0	55.000	55.000	55.000	612.000	673.333	612.500	673.500	612	673	1	1	-0.305	0.000	612.000	673.333	0.000	0.000	188.005
9	Adigit_19_C11_N1_P5.jpg:Cali_Pts	0	56.000	56.000	56.000	806.667	669.333	806.500	669.500	806	669	1	1	-0.305	0.000	806.667	669.333	0.000	0.000	188.005
10	Adigit_19_C11_N1_P5.jpg:Cali_Pts	0	17.000	17.000	17.000	986.667	670.667	986.500	670.500	986	670	1	1	-0.305	0.000	986.667	670.667	0.000	0.000	188.005
11	Adigit_19_C11_N1_P5.jpg:M1	212	19.959	0.000	105.330	0.000	0.000	0.000	0.000	224	669	211	1	-0.273	210.671	224.000	669.333	179.637	0.000	210.671
12	Adigit_19_C11_N1_P5.jpg:M2	178	20.281	0.000	75.436	0.000	0.000	0.000	0.000	435	671	177	3	-0.966	177.353	434.667	670.667	179.138	0.000	177.353
13	Adigit_19_C11_N1_P5.jpg:M3	196	26.784	0.000	114.150	0.000	0.000	0.000	0.000	612	669	195	4	1.181	194.708	612.000	673.333	1.177	0.000	194.708
14	Adigit_19_C11_N1_P5.jpg:M4	181	16.519	0.000	92.329	0.000	0.000	0.000	0.000	807	669	180	1	-0.318	180.005	806.667	669.333	179.576	0.000	180.005
