 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P1.jpg:e1	6854	191.062	24.000	243.000	0.000	0.000	483.790	294.021	435	244	101	97	0.000	122.287	437.000	333.000	39.026	74.945	138.667
2	Adigit_19_C11_N1_P1.jpg:e2	5697	203.076	66.000	245.000	0.000	0.000	650.074	256.920	608	206	84	97	0.000	101.242	627.000	207.000	110.225	74.953	138.667
3	Adigit_19_C11_N1_P1.jpg:e3	4498	218.561	6.000	248.000	0.000	0.000	706.836	307.198	665	262	80	85	0.000	86.377	702.000	264.000	110.323	71.262	138.667
4	Adigit_19_C11_N1_P1.jpg:e4t	5726	147.306	1.000	246.000	0.000	0.000	495.320	393.062	444	349	90	93	0.000	102.616	449.000	428.000	37.875	72.903	138.667
5	Adigit_19_C11_N1_P1.jpg:Cali_Pts	0	40.000	40.000	40.000	221.333	702.667	221.500	702.500	221	702	1	1	0.000	0.000	221.333	702.667	0.000	0.000	138.667
6	Adigit_19_C11_N1_P1.jpg:Cali_Pts	0	79.000	79.000	79.000	381.333	706.667	381.500	706.500	381	706	1	1	0.000	0.000	381.333	706.667	0.000	0.000	138.667
7	Adigit_19_C11_N1_P1.jpg:Cali_Pts	0	24.000	24.000	24.000	524.000	708.000	524.500	708.500	524	708	1	1	0.000	0.000	524.000	708.000	0.000	0.000	138.667
8	Adigit_19_C11_N1_P1.jpg:Cali_Pts	0	27.000	27.000	27.000	672.000	702.667	672.500	702.500	672	702	1	1	0.000	0.000	672.000	702.667	0.000	0.000	138.667
9	Adigit_19_C11_N1_P1.jpg:Cali_Pts	0	5.000	5.000	5.000	820.000	702.667	820.500	702.500	820	702	1	1	0.000	0.000	820.000	702.667	0.000	0.000	138.667
10	Adigit_19_C11_N1_P1.jpg:M1	161	17.558	0.062	92.810	0.000	0.000	0.000	0.000	221	703	160	4	-1.432	160.050	221.333	702.667	178.568	0.000	160.050
11	Adigit_19_C11_N1_P1.jpg:M2	144	34.646	1.366	118.834	0.000	0.000	0.000	0.000	381	707	143	1	-0.801	142.673	381.333	706.667	179.465	2.220E-16	142.673
12	Adigit_19_C11_N1_P1.jpg:M3	149	37.274	0.000	100.526	0.000	0.000	0.000	0.000	524	703	148	5	2.322	148.096	524.000	708.000	2.064	0.000	148.096
13	Adigit_19_C11_N1_P1.jpg:M4	149	18.124	0.000	121.000	0.000	0.000	0.000	0.000	672	703	148	0	0.000	148.000	672.000	702.667	0.000	0.000	148.000
