 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P2.jpg:e1	4812	192.969	3.000	244.000	0.000	0.000	619.302	279.136	581	244	82	81	0.335	89.006	600.000	324.000	62.571	73.756	170.672
2	Adigit_19_C11_N1_P2.jpg:e2	5619	221.420	128.000	246.000	0.000	0.000	555.299	308.496	520	261	76	98	0.335	105.190	531.000	358.000	65.872	74.216	170.672
3	Adigit_19_C11_N1_P2.jpg:e3	5983	223.993	128.000	239.000	0.000	0.000	555.321	409.285	505	364	99	94	0.335	106.944	505.000	392.000	151.518	71.927	170.672
4	Adigit_19_C11_N1_P2.jpg:e4	6171	186.183	1.000	239.000	0.000	0.000	618.564	482.932	568	441	100	90	0.335	112.712	568.000	466.000	152.526	73.315	170.672
5	Adigit_19_C11_N1_P2.jpg:e5b	4148	221.923	21.000	248.000	0.000	0.000	470.719	393.669	437	354	65	92	0.335	92.962	455.000	354.000	101.793	64.194	170.672
6	Adigit_19_C11_N1_P2.jpg:Cali_Pts	0	39.000	39.000	39.000	157.333	710.667	157.500	710.500	157	710	1	1	0.335	0.000	157.333	710.667	0.000	0.000	170.672
7	Adigit_19_C11_N1_P2.jpg:Cali_Pts	0	46.000	46.000	46.000	352.000	714.667	352.500	714.500	352	714	1	1	0.335	0.000	352.000	714.667	0.000	0.000	170.672
8	Adigit_19_C11_N1_P2.jpg:Cali_Pts	0	37.000	37.000	37.000	530.667	717.333	530.500	717.500	530	717	1	1	0.335	0.000	530.667	717.333	0.000	0.000	170.672
9	Adigit_19_C11_N1_P2.jpg:Cali_Pts	0	65.000	65.000	65.000	712.000	721.333	712.500	721.500	712	721	1	1	0.335	0.000	712.000	721.333	0.000	0.000	170.672
10	Adigit_19_C11_N1_P2.jpg:Cali_Pts	0	9.000	9.000	9.000	924.000	722.667	924.500	722.500	924	722	1	1	0.335	0.000	924.000	722.667	0.000	0.000	170.672
11	Adigit_19_C11_N1_P2.jpg:M1	196	46.570	2.544	116.294	0.000	0.000	0.000	0.000	157	711	195	4	-1.175	194.708	157.333	710.667	178.823	0.000	194.708
12	Adigit_19_C11_N1_P2.jpg:M2	180	37.806	9.156	105.998	0.000	0.000	0.000	0.000	352	715	179	3	-0.966	178.687	352.000	714.667	179.145	0.000	178.687
13	Adigit_19_C11_N1_P2.jpg:M3	182	18.204	0.000	87.666	0.000	0.000	0.000	0.000	531	717	181	4	-1.259	181.377	530.667	717.333	178.736	0.000	181.377
14	Adigit_19_C11_N1_P2.jpg:M4	213	10.916	0.000	67.654	0.000	0.000	0.000	0.000	712	721	212	1	-0.270	212.004	712.000	721.333	179.640	0.000	212.004
