 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P7.jpg:e1t	8439	100.124	2.000	187.000	0.000	0.000	235.029	579.640	189	524	93	109	0.318	116.078	205.000	526.000	112.810	93.000	180.003
2	Adigit_19_C11_N1_P7.jpg:e2t	7062	106.350	2.000	252.000	0.000	0.000	276.234	433.859	219	393	116	77	0.318	119.101	219.000	420.000	166.897	77.000	180.003
3	Adigit_19_C11_N1_P7.jpg:e3	5938	207.596	131.000	234.000	0.000	0.000	524.660	419.114	486	372	85	103	0.318	103.392	509.000	372.000	94.994	83.297	180.003
4	Adigit_19_C11_N1_P7.jpg:e4	6900	187.976	1.000	230.000	0.000	0.000	568.095	480.727	519	430	93	99	0.318	108.167	542.000	522.000	56.310	89.750	180.003
5	Adigit_19_C11_N1_P7.jpg:e5	5419	184.061	36.000	230.000	0.000	0.000	645.976	232.864	605	185	87	93	0.318	96.255	606.000	192.000	150.772	80.128	180.003
6	Adigit_19_C11_N1_P7.jpg:e6	5655	211.736	104.000	246.000	0.000	0.000	578.963	258.888	532	214	88	87	0.318	98.112	553.000	299.000	60.038	77.935	180.003
7	Adigit_19_C11_N1_P7.jpg:Cali_Pts	0	11.000	11.000	11.000	164.000	706.667	164.500	706.500	164	706	1	1	0.318	0.000	164.000	706.667	0.000	0.000	180.003
8	Adigit_19_C11_N1_P7.jpg:Cali_Pts	0	28.000	28.000	28.000	373.333	706.667	373.500	706.500	373	706	1	1	0.318	0.000	373.333	706.667	0.000	0.000	180.003
9	Adigit_19_C11_N1_P7.jpg:Cali_Pts	0	43.000	43.000	43.000	552.000	706.667	552.500	706.500	552	706	1	1	0.318	0.000	552.000	706.667	0.000	0.000	180.003
10	Adigit_19_C11_N1_P7.jpg:Cali_Pts	0	26.000	26.000	26.000	745.333	705.333	745.500	705.500	745	705	1	1	0.318	0.000	745.333	705.333	0.000	0.000	180.003
11	Adigit_19_C11_N1_P7.jpg:Cali_Pts	0	25.000	25.000	25.000	918.667	706.667	918.500	706.500	918	706	1	1	0.318	0.000	918.667	706.667	0.000	0.000	180.003
12	Adigit_19_C11_N1_P7.jpg:M1	210	17.453	0.000	72.489	0.000	0.000	0.000	0.000	164	707	209	0	0.000	209.333	164.000	706.667	0.000	0.000	209.333
13	Adigit_19_C11_N1_P7.jpg:M2	180	19.265	0.000	81.648	0.000	0.000	0.000	0.000	373	707	179	0	0.000	178.667	373.333	706.667	0.000	0.000	178.667
14	Adigit_19_C11_N1_P7.jpg:M3	194	27.608	0.000	118.333	0.000	0.000	0.000	0.000	552	705	193	1	0.297	193.338	552.000	706.667	0.395	0.000	193.338
15	Adigit_19_C11_N1_P7.jpg:M4	174	18.200	0.000	104.581	0.000	0.000	0.000	0.000	745	705	173	1	-0.331	173.339	745.333	705.333	179.559	0.000	173.339
