 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P8.jpg:e1	7415	201.947	0.000	236.000	0.000	0.000	391.610	271.835	356	200	77	147	0.000	149.459	391.000	347.000	79.592	67.268	0.000
2	Adigit_19_C11_N1_P8.jpg:e2t	6970	152.918	12.000	247.000	0.000	0.000	509.355	399.730	460	356	106	91	0.000	115.603	464.000	366.000	149.886	81.681	0.000
3	Adigit_19_C11_N1_P8.jpg:e3	8229	207.539	57.000	240.000	0.000	0.000	609.134	394.186	566	334	94	114	0.000	127.941	570.000	448.000	62.033	91.762	0.000
4	Adigit_19_C11_N1_P8.jpg:e4	9380	140.090	6.000	217.000	0.000	0.000	623.922	489.154	550	444	132	99	0.000	136.704	553.000	514.000	20.556	91.390	0.000
5	Adigit_19_C11_N1_P8.jpg:Cali_Pts	0	45.000	45.000	45.000	49.333	689.333	49.500	689.500	49	689	1	1	0.000	0.000	49.333	689.333	0.000	0.000	0.000
6	Adigit_19_C11_N1_P8.jpg:Cali_Pts	0	56.000	56.000	56.000	244.000	688.000	244.500	688.500	244	688	1	1	0.000	0.000	244.000	688.000	0.000	0.000	0.000
7	Adigit_19_C11_N1_P8.jpg:Cali_Pts	0	78.000	78.000	78.000	462.667	681.333	462.500	681.500	462	681	1	1	0.000	0.000	462.667	681.333	0.000	0.000	0.000
8	Adigit_19_C11_N1_P8.jpg:Cali_Pts	0	12.000	12.000	12.000	657.333	688.000	657.500	688.500	657	688	1	1	0.000	0.000	657.333	688.000	0.000	0.000	0.000
9	Adigit_19_C11_N1_P8.jpg:Cali_Pts	0	13.000	13.000	13.000	836.000	686.667	836.500	686.500	836	686	1	1	0.000	0.000	836.000	686.667	0.000	0.000	0.000
10	Adigit_19_C11_N1_P8.jpg:M1	196	19.294	0.000	94.389	0.000	0.000	0.000	0.000	49	688	195	1	0.294	194.671	49.333	689.333	0.392	0.000	194.671
11	Adigit_19_C11_N1_P8.jpg:M2	220	21.099	0.000	94.440	0.000	0.000	0.000	0.000	244	681	219	7	1.839	218.768	244.000	688.000	1.746	0.000	218.768
12	Adigit_19_C11_N1_P8.jpg:M3	196	27.352	0.329	76.185	0.000	0.000	0.000	0.000	463	681	195	7	-2.056	194.781	462.667	681.333	178.039	0.000	194.781
13	Adigit_19_C11_N1_P8.jpg:M4	180	16.109	0.000	62.310	0.000	0.000	0.000	0.000	657	687	179	1	0.640	178.672	657.333	688.000	0.428	0.000	178.672
