 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P9.jpg:e1	7962	206.801	7.000	254.000	0.000	0.000	220.852	375.857	166	318	103	114	0.640	118.727	197.000	432.000	57.381	85.869	178.672
2	Adigit_19_C11_N1_P9.jpg:e2	7015	183.441	32.000	225.000	0.000	0.000	159.569	456.993	111	399	96	112	0.640	115.802	134.000	511.000	73.443	85.273	178.672
3	Adigit_19_C11_N1_P9.jpg:e3t	8109	137.452	8.000	198.000	0.000	0.000	167.346	552.896	126	498	92	116	0.640	123.369	148.000	614.000	70.096	90.036	178.672
4	Adigit_19_C11_N1_P9.jpg:e4	7488	204.259	10.000	255.000	0.000	0.000	572.917	158.066	511	113	111	84	0.640	117.047	512.000	167.000	19.983	84.000	178.672
5	Adigit_19_C11_N1_P9.jpg:e5	5398	219.599	86.000	244.000	0.000	0.000	653.696	168.638	610	128	94	79	0.640	99.539	610.000	197.000	22.443	78.479	178.672
6	Adigit_19_C11_N1_P9.jpg:e6t	6241	166.914	73.000	252.000	0.000	0.000	588.208	326.882	554	267	68	122	0.640	123.471	583.000	389.000	81.148	68.000	178.672
7	Adigit_19_C11_N1_P9.jpg:Cali_Pts	0	51.000	51.000	51.000	192.000	716.000	192.500	716.500	192	716	1	1	0.640	0.000	192.000	716.000	0.000	0.000	178.672
8	Adigit_19_C11_N1_P9.jpg:Cali_Pts	0	20.000	20.000	20.000	418.667	713.333	418.500	713.500	418	713	1	1	0.640	0.000	418.667	713.333	0.000	0.000	178.672
9	Adigit_19_C11_N1_P9.jpg:Cali_Pts	0	24.000	24.000	24.000	604.000	716.000	604.500	716.500	604	716	1	1	0.640	0.000	604.000	716.000	0.000	0.000	178.672
10	Adigit_19_C11_N1_P9.jpg:Cali_Pts	0	21.000	21.000	21.000	790.667	717.333	790.500	717.500	790	717	1	1	0.640	0.000	790.667	717.333	0.000	0.000	178.672
11	Adigit_19_C11_N1_P9.jpg:Cali_Pts	0	41.000	41.000	41.000	969.333	708.000	969.500	708.500	969	708	1	1	0.640	0.000	969.333	708.000	0.000	0.000	178.672
12	Adigit_19_C11_N1_P9.jpg:M1	228	17.871	0.000	85.556	0.000	0.000	0.000	0.000	192	713	227	3	0.761	226.682	192.000	716.000	0.674	4.441E-16	226.682
13	Adigit_19_C11_N1_P9.jpg:M2	186	15.908	0.000	59.954	0.000	0.000	0.000	0.000	419	713	185	3	-0.924	185.352	418.667	713.333	179.176	0.000	185.352
14	Adigit_19_C11_N1_P9.jpg:M3	188	16.649	0.000	85.843	0.000	0.000	0.000	0.000	604	716	187	1	-0.308	186.671	604.000	716.000	179.591	0.000	186.671
15	Adigit_19_C11_N1_P9.jpg:M4	180	30.550	0.000	102.406	0.000	0.000	0.000	0.000	791	708	179	9	2.878	178.910	790.667	717.333	2.990	0.000	178.910
