 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P3.jpg:e1t	5952	108.879	28.000	251.000	0.000	0.000	275.283	206.156	216	174	112	66	-0.270	112.446	216.000	199.000	174.898	66.000	212.004
2	Adigit_19_C11_N1_P3.jpg:e2	5313	196.367	94.000	221.000	0.000	0.000	408.110	217.196	365	172	90	89	-0.270	102.650	373.000	259.000	54.917	67.882	212.004
3	Adigit_19_C11_N1_P3.jpg:e3t	8737	162.202	4.000	255.000	0.000	0.000	486.161	132.460	427	57	119	135	-0.270	160.801	440.000	188.000	53.344	70.434	212.004
4	Adigit_19_C11_N1_P3.jpg:e4	8863	187.744	60.000	236.000	0.000	0.000	467.518	398.194	383	352	148	99	-0.270	150.097	383.000	387.000	170.412	87.223	212.004
5	Adigit_19_C11_N1_P3.jpg:e5t	8062	117.248	1.000	216.000	0.000	0.000	534.694	497.035	475	451	129	94	-0.270	129.387	475.000	498.000	175.567	86.625	212.004
6	Adigit_19_C11_N1_P3.jpg:Cali_Pts	0	63.000	63.000	63.000	134.667	721.333	134.500	721.500	134	721	1	1	-0.270	0.000	134.667	721.333	0.000	0.000	212.004
7	Adigit_19_C11_N1_P3.jpg:Cali_Pts	0	38.000	38.000	38.000	333.333	714.667	333.500	714.500	333	714	1	1	-0.270	0.000	333.333	714.667	0.000	0.000	212.004
8	Adigit_19_C11_N1_P3.jpg:Cali_Pts	0	87.000	87.000	87.000	532.000	718.667	532.500	718.500	532	718	1	1	-0.270	0.000	532.000	718.667	0.000	0.000	212.004
9	Adigit_19_C11_N1_P3.jpg:Cali_Pts	0	44.000	44.000	44.000	716.000	718.667	716.500	718.500	716	718	1	1	-0.270	0.000	716.000	718.667	0.000	0.000	212.004
10	Adigit_19_C11_N1_P3.jpg:Cali_Pts	0	59.000	59.000	59.000	900.000	714.667	900.500	714.500	900	714	1	1	-0.270	0.000	900.000	714.667	0.000	0.000	212.004
11	Adigit_19_C11_N1_P3.jpg:M1	200	29.002	2.028	92.905	0.000	0.000	0.000	0.000	135	715	199	7	2.015	198.778	134.667	721.333	1.922	0.000	198.778
12	Adigit_19_C11_N1_P3.jpg:M2	200	16.339	0.000	85.111	0.000	0.000	0.000	0.000	333	715	199	4	-1.152	198.707	333.333	714.667	178.847	0.000	198.707
13	Adigit_19_C11_N1_P3.jpg:M3	185	32.491	0.000	113.667	0.000	0.000	0.000	0.000	532	719	184	0	0.000	184.000	532.000	718.667	0.000	0.000	184.000
14	Adigit_19_C11_N1_P3.jpg:M4	185	28.132	0.000	110.527	0.000	0.000	0.000	0.000	716	715	184	4	1.245	184.043	716.000	718.667	1.245	0.000	184.043
