 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P6.jpg:e1	4748	173.591	7.000	239.000	0.000	0.000	688.844	339.032	658	287	61	94	-0.318	98.082	666.000	381.000	73.413	61.000	180.005
2	Adigit_19_C11_N1_P6.jpg:e2	3962	201.344	98.000	239.000	0.000	0.000	699.597	416.430	671	377	65	79	-0.318	89.872	672.000	383.000	132.745	58.872	180.005
3	Adigit_19_C11_N1_P6.jpg:e3	5612	226.404	40.000	251.000	0.000	0.000	584.266	311.521	548	257	75	99	-0.318	103.092	572.000	258.000	108.083	75.000	180.005
4	Adigit_19_C11_N1_P6.jpg:e4	4174	162.677	52.000	230.000	0.000	0.000	578.573	388.642	544	353	62	84	-0.318	86.400	568.000	437.000	73.872	61.318	180.005
5	Adigit_19_C11_N1_P6.jpg:e5t	5912	146.017	35.000	234.000	0.000	0.000	377.057	233.037	319	198	112	76	-0.318	113.565	319.000	236.000	167.800	75.247	180.005
6	Adigit_19_C11_N1_P6.jpg:e6t	5181	83.889	5.000	247.000	0.000	0.000	620.817	112.450	575	71	103	77	-0.318	103.697	575.000	129.000	6.645	75.013	180.005
7	Adigit_19_C11_N1_P6.jpg:e7tb	6300	109.407	0.000	178.000	0.000	0.000	409.403	312.983	348	275	118	82	-0.318	120.333	348.000	293.000	164.578	77.128	180.005
8	Adigit_19_C11_N1_P6.jpg:Cali_Pts	0	44.000	44.000	44.000	201.000	671.000	201.500	671.500	201	671	1	1	-0.318	0.000	201.000	671.000	0.000	0.000	180.005
9	Adigit_19_C11_N1_P6.jpg:Cali_Pts	0	23.000	23.000	23.000	399.000	677.000	399.500	677.500	399	677	1	1	-0.318	0.000	399.000	677.000	0.000	0.000	180.005
10	Adigit_19_C11_N1_P6.jpg:Cali_Pts	0	50.000	50.000	50.000	595.000	676.000	595.500	676.500	595	676	1	1	-0.318	0.000	595.000	676.000	0.000	0.000	180.005
11	Adigit_19_C11_N1_P6.jpg:Cali_Pts	0	38.000	38.000	38.000	780.000	677.000	780.500	677.500	780	677	1	1	-0.318	0.000	780.000	677.000	0.000	0.000	180.005
12	Adigit_19_C11_N1_P6.jpg:Cali_Pts	0	9.000	9.000	9.000	960.000	676.000	960.500	676.500	960	676	1	1	-0.318	0.000	960.000	676.000	0.000	0.000	180.005
13	Adigit_19_C11_N1_P6.jpg:M1	199	20.386	0.000	72.121	0.000	0.000	0.000	0.000	201	671	198	6	-1.736	198.091	201.000	671.000	178.264	8.882E-16	198.091
14	Adigit_19_C11_N1_P6.jpg:M2	197	30.045	0.000	99.537	0.000	0.000	0.000	0.000	399	676	196	1	0.292	196.003	399.000	677.000	0.292	0.000	196.003
15	Adigit_19_C11_N1_P6.jpg:M3	186	33.075	0.000	141.180	0.000	0.000	0.000	0.000	595	676	185	1	-0.310	185.003	595.000	676.000	179.690	0.000	185.003
16	Adigit_19_C11_N1_P6.jpg:M4	181	12.519	0.000	75.778	0.000	0.000	0.000	0.000	780	676	180	1	0.318	180.003	780.000	677.000	0.318	0.000	180.003
