 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7061.JPG:Pa1b	108505	102.008	34.903	90.000	23.000	235.000	306.177	1407.293	1574.925	122	1152	337	479	-100.890	486.391	245.000	1629.000	78.136	319.609	321.116
2	IMG_7061.JPG:Pa2b	6721	117.287	35.626	109.000	36.000	254.000	709.658	1266.476	315.947	677	1204	69	119	-100.890	120.669	694.000	1204.000	99.540	68.918	321.116
3	IMG_7061.JPG:Pa3b	81607	112.173	35.713	83.000	32.000	228.000	571.763	757.283	1301.383	417	567	342	389	-100.890	404.728	487.000	956.000	69.461	262.419	321.116
4	IMG_7061.JPG:Pa4b	48762	91.689	26.998	78.000	32.000	215.000	694.695	198.349	999.669	569	84	273	243	-100.890	304.436	582.000	294.000	31.706	241.465	321.116
5	IMG_7061.JPG:Pa5b	199019	115.185	32.961	119.000	22.000	234.000	1998.428	912.238	2032.622	1699	642	580	549	-100.890	585.355	1699.000	998.000	7.756	477.116	321.116
6	IMG_7061.JPG:Pa6b	143002	109.432	44.709	68.000	22.000	234.000	1917.790	2313.193	2520.293	1688	2056	517	560	-100.890	628.322	1723.000	2586.000	54.261	351.079	321.116
7	IMG_7061.JPG:Pa7b	12145	96.494	22.375	85.000	40.000	174.000	3262.086	791.302	574.260	3196	716	141	136	-100.890	160.602	3218.000	844.000	52.845	133.304	321.116
8	IMG_7061.JPG:Pa8b	61833	85.730	17.232	75.000	39.000	172.000	3298.194	595.829	1178.060	3129	449	332	300	-100.890	362.262	3155.000	488.000	137.013	238.278	321.116
9	IMG_7061.JPG:M1	335	59.596	7.232	57.676	48.282	132.667	1469.750	1519.250	334.438	1404	1366	133	308	66.846	334.438	1404.000	1673.000	66.846	0.000	334.438
10	IMG_7061.JPG:M2	329	135.172	69.607	63.491	47.314	223.543	1600.500	1214.250	328.078	1537	1063	128	304	67.226	328.078	1537.000	1365.500	67.226	1.421E-14	328.078
11	IMG_7061.JPG:M3	318	59.998	7.258	55.421	51.333	107.906	1719.000	913.750	316.727	1662	766	115	297	68.904	316.727	1662.000	1061.500	68.904	0.000	316.727
12	IMG_7061.JPG:M4	299	118.150	55.698	186.413	52.286	198.711	1838.000	630.500	298.042	1783	492	111	278	-111.659	298.042	1783.000	769.000	68.341	1.421E-14	298.042
