 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7003.JPG:Pa1b	181063	113.415	42.912	113.000	28.000	233.000	461.406	275.442	2272.103	164	82	662	432	0.000	671.547	166.000	142.000	169.359	432.000	0.000
2	IMG_7003.JPG:Pa2b	18308	93.814	33.715	67.000	25.000	221.000	964.730	457.669	571.055	870	366	190	166	0.000	191.771	870.000	470.000	7.792	148.043	0.000
3	IMG_7003.JPG:Pa3b	63473	109.971	39.548	93.000	22.000	227.000	1195.013	326.433	1416.541	1014	118	342	380	0.000	447.115	1044.000	120.000	133.187	247.324	0.000
4	IMG_7003.JPG:Pa4b	155397	97.747	36.590	70.000	23.000	234.000	2923.766	1962.879	2208.909	2650	1710	628	432	0.000	641.102	2730.000	1710.000	148.392	387.244	0.000
5	IMG_7003.JPG:Pa5b	306671	133.327	39.203	134.000	19.000	241.000	3082.044	745.688	6977.227	2714	350	884	1032	0.000	1059.906	3106.000	1382.000	76.357	807.200	0.000
6	IMG_7003.JPG:M1	280	106.033	60.065	53.287	41.058	193.772	2070.250	758.000	279.072	2027	626	88	266	-108.273	279.072	2026.500	890.500	71.727	0.000	279.072
7	IMG_7003.JPG:M2	299	49.627	5.589	49.719	36.401	111.333	1986.250	1034.500	297.734	1940	893	94	284	-108.100	297.734	1940.000	1176.000	71.900	1.421E-14	297.734
8	IMG_7003.JPG:M3	306	124.856	60.178	188.009	39.397	197.587	1886.250	1319.000	305.325	1837	1175	100	290	-108.821	305.325	1837.000	1463.500	71.179	0.000	305.325
9	IMG_7003.JPG:M4	313	50.732	5.218	48.899	41.794	82.667	1780.750	1609.250	311.885	1728	1463	107	294	-109.771	311.885	1728.000	1756.000	70.229	0.000	311.885
