 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5149.JPG:Pa1	24712	107.012	22.145	103.000	59.000	222.000	2686.059	281.220	834.115	2505	211	322	151	-72.334	323.048	2505	248	175.384	129.514	306.452
2	IMG_5149.JPG:Pa2	29713	110.455	22.034	95.000	61.000	233.000	2357.562	175.746	652.468	2253	68	206	210	-72.334	216.005	2270	118	140.636	178.192	306.452
3	IMG_5149.JPG:Pa3pm	46024	107.209	24.452	103.000	48.000	240.000	2293.170	398.643	1443.682	2168	229	217	373	-72.334	382.786	2279	229	102.983	210.701	306.452
4	IMG_5149.JPG:Pa4	50431	92.465	17.267	90.000	48.000	220.000	1780.224	384.884	895.064	1633	272	311	261	-72.334	313.562	1633	399	7.329	225.429	306.452
5	IMG_5149.JPG:M1	271	179.304	51.691	244.913	113.641	248.875	1216.500	372.000	270.313	1210	237	14	271	-87.243	270.313	1210	237	92.757	0.000	270.313
6	IMG_5149.JPG:M2	289	96.141	7.970	94.021	73.667	135.333	1228.000	652.000	288.444	1220	508	17	289	-86.820	288.444	1220	508	93.180	0.000	288.444
7	IMG_5149.JPG:M3	298	168.334	61.514	227.602	92.169	245.242	1248.000	946.000	296.547	1239	798	19	297	-86.520	296.547	1239	798	93.480	0.000	296.547
8	IMG_5149.JPG:M4	306	91.717	12.455	86.180	63.780	177.333	1258.000	1246.500	305.321	1251	1094	15	306	-87.372	305.321	1251	1094	92.628	0.000	305.321
9	IMG_5149.JPG:Pa5	3421	102.216	18.718	97.000	63.000	205.000	2455.764	2065.114	219.705	2427	2029	58	71	-91.257	80.994	2433	2099	57.095	55.327	319.077
10	IMG_5149.JPG:Pa7	33335	68.859	14.303	72.000	29.000	165.000	2240.820	2398.301	742.951	2127	2283	218	225	-91.257	246.862	2167	2490	46.477	203.056	319.077
