 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5154.JPG:Pa1	54889	66.631	12.728	64.000	27.000	157.000	2708.693	132.276	894.262	2566	6	292	258	0.000	303.567	2566.000	81.000	164.132	243.271	0.000
2	IMG_5154.JPG:Pa2	35035	68.640	17.756	64.000	27.000	222.000	2832.592	1267.336	809.048	2713	1164	260	230	0.000	267.615	2723.000	1192.000	157.364	212.049	0.000
3	IMG_5154.JPG:Pa3	8825	74.412	23.925	66.000	35.000	191.000	3409.010	1615.572	450.256	3371	1530	73	176	0.000	176.918	3411.000	1530.000	95.839	73.000	0.000
4	IMG_5154.JPG:Pa4	68950	47.674	10.748	46.000	22.000	132.000	3491.242	2522.446	1240.307	3371	2288	250	434	0.000	438.128	3524.000	2722.000	82.129	249.172	0.000
5	IMG_5154.JPG:Pa5	170309	39.621	21.492	29.000	12.000	191.000	1830.062	2494.866	1748.413	1621	2203	407	533	0.000	584.504	1664.000	2736.000	57.506	404.719	0.000
6	IMG_5154.JPG:Pa6	44400	49.926	13.114	44.000	24.000	178.000	2198.911	1813.045	1002.634	2079	1676	254	281	0.000	312.237	2132.000	1957.000	62.122	218.938	0.000
7	IMG_5154.JPG:M1	306	142.213	50.728	201.465	81.058	209.225	2050.500	306.000	304.724	2040	154	22	305	-93.952	304.724	2040.000	458.000	86.048	0.000	304.724
8	IMG_5154.JPG:M2	323	71.696	10.282	65.240	59.413	115.699	2029.500	620.500	321.823	2018	460	24	322	-94.098	321.823	2018.000	781.000	85.902	0.000	321.823
9	IMG_5154.JPG:M3	326	138.122	50.005	196.121	66.190	205.073	2005.500	944.000	325.123	1992	782	28	325	-94.764	325.123	1992.000	1106.000	85.236	3.553E-15	325.123
10	IMG_5154.JPG:M4	329	52.089	9.276	46.521	34.555	126.000	1976.500	1267.500	327.954	1964	1104	26	328	-94.372	327.954	1964.000	1431.000	85.628	0.000	327.954
