 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_4191.JPG:Cali_Pts	0	79.000	0.000	79.000	79.000	79.000	877.000	20.000	0.000	877	20	1	1	-114.193	0.000	877.000	20.000	0.000	0.000	302.576
2	IMG_4191.JPG:Cali_Pts	0	115.000	0.000	115.000	115.000	115.000	847.000	292.000	0.000	847	292	1	1	-114.193	0.000	847.000	292.000	0.000	0.000	302.576
3	IMG_4191.JPG:Cali_Pts	0	178.000	0.000	178.000	178.000	178.000	825.000	579.000	0.000	825	579	1	1	-114.193	0.000	825.000	579.000	0.000	0.000	302.576
4	IMG_4191.JPG:Cali_Pts	0	146.000	0.000	146.000	146.000	146.000	804.000	870.000	0.000	804	870	1	1	-114.193	0.000	804.000	870.000	0.000	0.000	302.576
5	IMG_4191.JPG:Cali_Pts	0	110.000	0.000	110.000	110.000	110.000	781.000	1166.000	0.000	781	1166	1	1	-114.193	0.000	781.000	1166.000	0.000	0.000	302.576
6	IMG_4191.JPG:M1	275	139.195	43.830	93.019	78.667	207.584	862.000	156.000	273.649	847	20	31	273	-96.294	273.649	847.000	292.000	83.706	3.553E-15	273.649
7	IMG_4191.JPG:M2	289	77.781	11.620	74.568	67.442	178.000	836.000	435.500	287.842	825	292	23	288	-94.383	287.842	825.000	579.000	85.617	0.000	287.842
8	IMG_4191.JPG:M3	293	153.556	49.554	207.988	84.282	210.202	814.500	724.500	291.757	804	579	22	292	-94.128	291.757	804.000	870.000	85.872	0.000	291.757
9	IMG_4191.JPG:M4	298	81.238	8.288	76.830	68.546	145.667	792.500	1018.000	296.892	781	870	24	297	-94.443	296.892	781.000	1166.000	85.557	3.553E-15	296.892
10	IMG_4191.JPG:Pa1	481326	83.717	27.963	63.000	28.000	231.000	1766.800	2305.951	2771.309	1395	1845	759	863	-114.193	950.928	1584.000	1882.000	125.930	709.528	302.576
