 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Length
1	\IMG_4182.JPG:Cali_Pts	0	121.000	121.000	121.000	1163	164	1163.500	164.500	1163	164	1	1	-78.726	317.120
2	\IMG_4182.JPG:Cali_Pts	0	104.000	104.000	104.000	1140	445	1140.500	445.500	1140	445	1	1	-78.726	317.120
3	\IMG_4182.JPG:Cali_Pts	0	75.000	75.000	75.000	1124	742	1124.500	742.500	1124	742	1	1	-78.726	317.120
4	\IMG_4182.JPG:Cali_Pts	0	106.000	106.000	106.000	1107	1048	1107.500	1048.500	1107	1048	1	1	-78.726	317.120
5	\IMG_4182.JPG:Cali_Pts	0	102.000	102.000	102.000	1089	1358	1089.500	1358.500	1089	1358	1	1	-78.726	317.120
6	\IMG_4182.JPG:M1	283	145.331	89.057	215.182	0	0	0.000	0.000	1140	164	23	281	-94.679	281.940
7	\IMG_4182.JPG:M2	298	70.096	54.333	115.677	0	0	0.000	0.000	1124	445	16	297	-93.084	297.431
8	\IMG_4182.JPG:M3	307	140.407	66.444	209.037	0	0	0.000	0.000	1107	742	17	306	-93.180	306.472
9	\IMG_4182.JPG:M4	312	65.493	50.183	105.667	0	0	0.000	0.000	1089	1048	18	310	-93.323	310.522
