 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Length
1	\IMG_4180.JPG:Cali_Pts	0	135.000	135.000	135.000	1209	332	1209.500	332.500	1209	332	1	1	-177.374	327.344
2	\IMG_4180.JPG:Cali_Pts	0	133.000	133.000	133.000	1057	583	1057.500	583.500	1057	583	1	1	-177.374	327.344
3	\IMG_4180.JPG:Cali_Pts	0	153.000	153.000	153.000	897	850	897.500	850.500	897	850	1	1	-177.374	327.344
4	\IMG_4180.JPG:Cali_Pts	0	130.000	130.000	130.000	735	1127	735.500	1127.500	735	1127	1	1	-177.374	327.344
5	\IMG_4180.JPG:Cali_Pts	0	142.000	142.000	142.000	573	1407	573.500	1407.500	573	1407	1	1	-177.374	327.344
6	\IMG_4180.JPG:M1	294	177.731	113.184	248.424	0	0	0.000	0.000	1057	332	152	251	-121.198	293.437
7	\IMG_4180.JPG:M2	312	105.768	91.173	152.667	0	0	0.000	0.000	897	583	160	267	-120.932	311.270
8	\IMG_4180.JPG:M3	322	187.838	108.807	252.666	0	0	0.000	0.000	735	850	162	277	-120.321	320.894
9	\IMG_4180.JPG:M4	324	107.298	94.362	156.350	0	0	0.000	0.000	573	1127	162	280	-120.052	323.487
