 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_4179.JPG:Cali_Pts	0	103.000	0.000	103.000	103.000	103.000	810.000	146.000	0.000	810	146	1	1	-114.193	0.000	810.000	146.000	0.000	0.000	302.576
2	IMG_4179.JPG:Cali_Pts	0	127.000	0.000	127.000	127.000	127.000	807.000	439.000	0.000	807	439	1	1	-114.193	0.000	807.000	439.000	0.000	0.000	302.576
3	IMG_4179.JPG:Cali_Pts	0	116.000	0.000	116.000	116.000	116.000	810.000	743.000	0.000	810	743	1	1	-114.193	0.000	810.000	743.000	0.000	0.000	302.576
4	IMG_4179.JPG:Cali_Pts	0	113.000	0.000	113.000	113.000	113.000	815.000	1058.000	0.000	815	1058	1	1	-114.193	0.000	815.000	1058.000	0.000	0.000	302.576
5	IMG_4179.JPG:Cali_Pts	0	142.000	0.000	142.000	142.000	142.000	823.000	1375.000	0.000	823	1375	1	1	-114.193	0.000	823.000	1375.000	0.000	0.000	302.576
6	IMG_4179.JPG:M1	294	161.736	52.433	219.819	94.692	240.626	808.500	292.500	293.015	807	146	4	294	-90.587	293.015	807.000	439.000	89.413	4.441E-16	293.015
7	IMG_4179.JPG:M2	305	87.673	9.641	82.902	67.105	148.800	808.500	591.000	304.015	807	439	4	305	-89.435	304.015	807.000	439.000	90.565	0.000	304.015
8	IMG_4179.JPG:M3	316	180.234	58.892	241.295	101.672	247.862	812.500	900.500	315.040	810	743	6	316	-89.091	315.040	810.000	743.000	90.909	0.000	315.040
9	IMG_4179.JPG:M4	318	92.753	9.657	86.657	76.620	141.667	819.000	1216.500	317.101	815	1058	9	318	-88.554	317.101	815.000	1058.000	91.446	0.000	317.101
10	IMG_4179.JPG:Pa1	91540	91.221	26.753	83.000	16.000	223.000	1306.940	2397.735	1356.776	1160	2173	321	481	-114.193	518.947	1232.000	2654.000	66.251	254.982	302.576
