 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5164.JPG:Pa1	138004	48.483	14.959	46.000	19.000	211.000	2384.586	2279.234	1625.474	2168	2020	433	491	-94.372	494.297	2389.000	2020.000	96.622	408.546	327.954
2	IMG_5164.JPG:Pa2	28032	85.080	20.403	77.000	43.000	224.000	2781.892	934.442	684.101	2658	848	238	176	-94.372	242.033	2658.000	900.000	169.526	170.855	327.954
3	IMG_5164.JPG:Pa3	21627	54.733	14.025	46.000	26.000	167.000	1795.643	1762.256	547.723	1717	1671	162	175	-94.372	197.041	1759.000	1672.000	125.707	143.250	327.954
4	IMG_5164.JPG:Pa4	54462	57.839	12.905	56.000	22.000	168.000	755.979	2048.424	1142.499	594	1915	314	257	-94.372	332.415	612.000	1953.000	142.579	254.541	327.954
5	IMG_5164.JPG:Pa5	21560	80.833	18.200	70.000	39.000	218.000	923.485	566.374	609.369	841	487	181	159	-94.372	191.552	850.000	631.000	40.342	158.474	327.954
6	IMG_5164.JPG:M1	284	135.965	46.754	189.341	73.614	195.783	1492.500	481.500	283.214	1487	340	12	284	-87.774	283.214	1487.000	340.000	92.226	0.000	283.214
7	IMG_5164.JPG:M2	304	53.777	7.742	50.273	43.307	95.000	1506.500	775.500	303.371	1499	624	16	304	-87.166	303.371	1499.000	624.000	92.834	0.000	303.371
8	IMG_5164.JPG:M3	312	117.339	52.225	172.564	49.965	186.720	1517.500	1083.500	311.272	1511	928	14	312	-87.606	311.272	1511.000	928.000	92.394	0.000	311.272
9	IMG_5164.JPG:M4	319	44.310	8.543	41.490	33.142	148.667	1534.500	1397.000	318.190	1529	1238	12	319	-88.019	318.190	1529.000	1238.000	91.981	0.000	318.190
