 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5143.JPG:Pa1	16260	66.713	20.171	59.000	23.000	211.000	1031.956	1315.994	769.283	950	1216	164	189	-86.709	195.233	981	1217	127.926	157.900	313.517
2	IMG_5143.JPG:Pa2	57683	66.205	19.772	63.000	8.000	231.000	1340.770	998.885	1258.464	1202	832	296	337	-86.709	350.281	1255	1168	73.583	267.603	313.517
3	IMG_5143.JPG:Pa3	88958	70.951	21.447	56.000	23.000	215.000	2396.572	2254.353	1818.048	2233	2046	350	404	-86.709	465.145	2282	2046	120.203	315.427	313.517
4	IMG_5143.JPG:Pa4	52792	77.624	20.960	76.000	30.000	227.000	2507.022	1742.192	1162.229	2380	1583	282	311	-86.709	334.619	2419	1610	130.880	254.149	313.517
5	IMG_5143.JPG:Pa5	189742	53.628	15.572	48.000	10.000	221.000	1706.675	1697.379	2638.850	1456	1396	506	624	-86.709	624.424	1641	2020	87.889	455.469	313.517
6	IMG_5143.JPG:Pa6	162643	97.668	20.608	108.000	34.000	221.000	3104.582	2292.530	2177.333	2874	2033	432	525	-86.709	547.730	2993	2551	71.036	431.747	313.517
7	IMG_5143.JPG:M1	304	182.835	56.304	248.216	114.063	253.386	2025.500	151.500	303.002	2025	0	2	304	-90.189	303.002	2025	303	89.811	0.000	303.002
8	IMG_5143.JPG:M2	319	78.964	15.655	68.486	58.994	167.000	2028.000	463.000	318.006	2027	304	3	319	-89.640	318.006	2027	304	90.360	0.000	318.006
9	IMG_5143.JPG:M3	321	169.589	59.442	232.693	81.817	239.790	2027.000	781.000	320.006	2026	621	3	321	-90.358	320.006	2026	941	89.642	0.000	320.006
10	IMG_5143.JPG:M4	320	81.713	9.797	74.038	57.273	115.667	2022.500	1103.500	319.077	2019	944	8	320	-91.257	319.077	2019	1263	88.743	0.000	319.077
