 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5141.JPG:Pa1	176793	77.629	23.748	79.000	17.000	238.000	1078.544	1440.481	2156.772	736	1181	630	520	0.000	687.451	747	1269	152.540	438.212	0.000
2	IMG_5141.JPG:Pa2	6810	88.230	18.584	77.000	37.000	222.000	520.013	1482.862	314.556	463	1441	112	83	0.000	116.211	463	1466	164.529	83.000	0.000
3	IMG_5141.JPG:Pa3	3060	79.288	23.204	68.000	35.000	212.000	479.788	1577.016	231.271	443	1536	71	71	0.000	74.465	444	1570	157.913	61.573	0.000
4	IMG_5141.JPG:Pa4	1841	89.282	18.133	77.000	60.000	192.000	196.260	2128.523	167.746	174	2101	45	59	0.000	60.729	189	2160	72.759	43.827	0.000
5	IMG_5141.JPG:M1	323	75.251	10.408	68.928	60.236	135.667	1990.000	1261.000	322.155	1985	1100	11	323	91.779	322.155	1985	1100	91.779	0.000	322.155
6	IMG_5141.JPG:M2	322	167.879	63.446	237.276	85.481	239.380	1976.500	940.000	320.564	1967	780	20	321	-86.602	320.564	1967	780	93.398	0.000	320.564
7	IMG_5141.JPG:M3	299	159.885	55.511	106.162	92.921	237.166	1936.500	316.500	297.741	1926	168	22	298	-85.956	297.741	1926	168	94.044	3.553E-15	297.741
8	IMG_5141.JPG:M4	315	77.943	11.427	74.419	60.867	171.000	1957.000	622.500	313.517	1948	466	19	314	-86.709	313.517	1948	466	93.291	0.000	313.517
