 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6179.JPG:Cali_Pts	0	124.000	0.000	124.000	124.000	124.000	1552.000	195.000	0.000	1552	195	1	1	0.000	0.000	1552.000	195	0.000	0.000	0.000
2	IMG_6179.JPG:Cali_Pts	0	76.000	0.000	76.000	76.000	76.000	1561.000	503.000	0.000	1561	503	1	1	0.000	0.000	1561.000	503	0.000	0.000	0.000
3	IMG_6179.JPG:Cali_Pts	0	84.000	0.000	84.000	84.000	84.000	1572.000	825.000	0.000	1572	825	1	1	0.000	0.000	1572.000	825	0.000	0.000	0.000
4	IMG_6179.JPG:Cali_Pts	0	84.000	0.000	84.000	84.000	84.000	1573.000	1154.000	0.000	1573	1154	1	1	0.000	0.000	1573.000	1154	0.000	0.000	0.000
5	IMG_6179.JPG:Cali_Pts	0	101.000	0.000	101.000	101.000	101.000	1578.000	1480.000	0.000	1578	1480	1	1	0.000	0.000	1578.000	1480	0.000	0.000	0.000
6	IMG_6179.JPG:M1	309	144.489	57.750	219.404	76.333	223.722	1556.500	349.000	308.131	1552	195	10	309	-88.326	308.131	1552.000	195	91.674	0.000	308.131
7	IMG_6179.JPG:M2	323	72.292	6.474	66.643	57.841	99.188	1566.500	664.000	322.188	1561	503	12	323	-88.043	322.188	1561.000	503	91.957	0.000	322.188
8	IMG_6179.JPG:M3	330	151.824	66.289	77.742	67.103	232.157	1572.500	989.500	329.002	1572	825	2	330	-89.826	329.002	1572.000	825	90.174	0.000	329.002
9	IMG_6179.JPG:M4	327	68.739	5.275	66.945	58.245	100.667	1575.500	1317.000	326.038	1573	1154	6	327	-89.121	326.038	1573.000	1154	90.879	0.000	326.038
10	IMG_6179.JPG:Pa1bbpm	44381	147.131	45.264	136.000	56.000	255.000	825.804	1010.327	878.942	685	868	276	287	0.000	307.976	692.000	908	141.195	226.710	0.000
11	IMG_6179.JPG:Pa2bpm	588416	131.389	43.414	121.000	36.000	255.000	1972.648	617.775	3167.795	1539	183	870	962	0.000	1000.932	1906.000	1144	73.158	829.971	0.000
12	IMG_6179.JPG:Pa3	38062	111.730	34.349	92.000	40.000	231.000	215.553	514.040	735.830	82	408	266	204	0.000	268.349	82.500	519	171.643	195.306	0.000
