 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6153.JPG:Cali_Pts	0	114.000	0.000	114.000	114.000	114.000	1358.000	452.000	0.000	1358	452	1	1	0.000	0.000	1358	452	0.000	0.000	0.000
2	IMG_6153.JPG:Cali_Pts	0	128.000	0.000	128.000	128.000	128.000	1362.000	718.000	0.000	1362	718	1	1	0.000	0.000	1362	718	0.000	0.000	0.000
3	IMG_6153.JPG:Cali_Pts	0	219.000	0.000	219.000	219.000	219.000	1367.000	1007.000	0.000	1367	1007	1	1	0.000	0.000	1367	1007	0.000	0.000	0.000
4	IMG_6153.JPG:Cali_Pts	0	116.000	0.000	116.000	116.000	116.000	1371.000	1304.000	0.000	1371	1304	1	1	0.000	0.000	1371	1304	0.000	0.000	0.000
5	IMG_6153.JPG:Cali_Pts	0	99.000	0.000	99.000	99.000	99.000	1373.000	1614.000	0.000	1373	1614	1	1	0.000	0.000	1373	1614	0.000	0.000	0.000
6	IMG_6153.JPG:M1	267	161.319	61.361	236.116	86.348	245.108	1360.000	585.000	266.030	1358	452	5	267	-89.138	266.030	1358	452	90.862	0.000	266.030
7	IMG_6153.JPG:M2	290	78.956	13.551	72.983	65.487	219.000	1364.500	862.500	289.043	1362	718	6	290	-89.009	289.043	1362	718	90.991	0.000	289.043
8	IMG_6153.JPG:M3	298	160.547	68.920	232.805	80.193	239.983	1369.000	1155.500	297.027	1367	1007	5	298	-89.228	297.027	1367	1007	90.772	0.000	297.027
9	IMG_6153.JPG:M4	311	76.489	6.859	73.294	64.239	116.333	1372.000	1459.000	310.006	1371	1304	3	311	-89.630	310.006	1371	1304	90.370	0.000	310.006
10	IMG_6153.JPG:Pa1bb	7173	160.309	52.230	240.000	61.000	246.000	289.868	426.453	336.217	243	369	102	105	0.000	115.421	246	465	52.038	93.018	0.000
11	IMG_6153.JPG:Pa7	33902	91.777	21.253	72.000	44.000	187.000	540.675	357.938	682.291	433	259	222	199	0.000	251.078	438	287	149.349	189.846	0.000
12	IMG_6153.JPG:Pa2bb	11463	113.455	36.683	96.000	45.000	230.000	830.893	276.756	398.109	755	222	147	106	0.000	148.678	757	260	165.590	103.790	0.000
13	IMG_6153.JPG:Pa3b	22456	146.503	35.048	135.000	47.000	236.000	215.664	1465.634	566.223	129	1362	162	189	0.000	193.290	175	1547	73.159	157.165	0.000
14	IMG_6153.JPG:Pa4b	169723	99.765	42.781	59.000	17.000	239.000	1098.012	2067.495	1946.639	844	1744	439	649	0.000	649.250	1067	1744	91.589	413.423	0.000
15	IMG_6153.JPG:Pa5b	315968	129.523	39.972	97.000	28.000	243.000	1800.365	1756.654	2048.303	1516	1431	580	654	0.000	717.809	1655	2076	63.970	579.046	0.000
16	IMG_6153.JPG:Pa6	150692	80.663	30.860	50.000	27.000	207.000	3483.146	1745.081	1448.803	3279	1500	369	503	0.000	512.079	3472	1500	100.805	369.000	0.000
