 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6152.JPG:Cali_Pts	0	78.000	0.000	78.000	78.000	78.000	1003.000	265.000	0.000	1003	265	1	1	0.000	0.000	1003	265	0.000	0.000	0.000
2	IMG_6152.JPG:Cali_Pts	0	116.000	0.000	116.000	116.000	116.000	977.000	545.000	0.000	977	545	1	1	0.000	0.000	977	545	0.000	0.000	0.000
3	IMG_6152.JPG:Cali_Pts	0	213.000	0.000	213.000	213.000	213.000	947.000	843.000	0.000	947	843	1	1	0.000	0.000	947	843	0.000	0.000	0.000
4	IMG_6152.JPG:Cali_Pts	0	180.000	0.000	180.000	180.000	180.000	923.000	1146.000	0.000	923	1146	1	1	0.000	0.000	923	1146	0.000	0.000	0.000
5	IMG_6152.JPG:Cali_Pts	0	112.000	0.000	112.000	112.000	112.000	901.000	1455.000	0.000	901	1455	1	1	0.000	0.000	901	1455	0.000	0.000	0.000
6	IMG_6152.JPG:M1	282	150.693	60.221	97.337	75.184	234.936	990.000	405.000	281.205	977	265	27	281	-95.305	281.205	977	545	84.695	0.000	281.205
7	IMG_6152.JPG:M2	301	92.581	38.478	76.728	67.992	233.656	962.000	694.000	299.506	947	545	31	299	-95.749	299.506	947	843	84.251	0.000	299.506
8	IMG_6152.JPG:M3	305	172.740	38.405	140.363	73.970	223.720	935.000	994.500	303.949	923	843	25	304	-94.529	303.949	923	1146	85.471	0.000	303.949
9	IMG_6152.JPG:M4	311	117.813	53.722	80.079	72.982	246.014	912.000	1300.500	309.782	901	1146	23	310	-94.072	309.782	901	1455	85.928	0.000	309.782
10	IMG_6152.JPG:Pa1bbpm	165884	151.990	47.760	116.000	39.000	255.000	1099.844	1045.625	2776.227	844	793	534	692	0.000	772.819	887	828	127.270	526.192	0.000
11	IMG_6152.JPG:Pa2bb	12738	163.529	49.160	235.000	58.000	252.000	399.716	1555.638	427.528	353	1484	104	147	0.000	153.405	367	1631	64.103	104.000	0.000
12	IMG_6152.JPG:Pa3b	272085	116.415	42.633	90.000	19.000	229.000	2139.383	1764.290	2520.183	1832	1476	653	625	0.000	698.745	1888	1537	129.134	614.971	0.000
13	IMG_6152.JPG:Pa4	90288	93.428	33.033	67.000	15.000	217.000	2490.562	2030.556	1113.488	2353	1847	296	388	0.000	399.930	2405	2215	64.845	287.235	0.000
14	IMG_6152.JPG:Pa5b	10723	117.665	35.570	111.000	34.000	223.000	2356.932	1470.904	426.619	2301	1410	125	124	0.000	140.293	2319	1531	59.597	117.443	0.000
15	IMG_6152.JPG:Pa6	28519	109.345	24.720	103.000	31.000	202.000	2314.270	827.821	776.743	2222	718	244	217	0.000	260.548	2222	746	158.852	198.262	0.000
16	IMG_6152.JPG:Pa7b	45861	136.113	35.292	131.000	48.000	226.000	3049.916	291.656	928.179	2898	184	324	208	0.000	326.221	2898	337	6.689	205.923	0.000
