 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6154.JPG:Cali_Pts	0	77.000	0.000	77.000	77.000	77.000	1177.000	291.000	0.000	1177	291	1	1	0.000	0.000	1177	291	0.000	0.000	0.000
2	IMG_6154.JPG:Cali_Pts	0	189.000	0.000	189.000	189.000	189.000	1149.000	578.000	0.000	1149	578	1	1	0.000	0.000	1149	578	0.000	0.000	0.000
3	IMG_6154.JPG:Cali_Pts	0	101.000	0.000	101.000	101.000	101.000	1123.000	881.000	0.000	1123	881	1	1	0.000	0.000	1123	881	0.000	0.000	0.000
4	IMG_6154.JPG:Cali_Pts	0	102.000	0.000	102.000	102.000	102.000	1095.000	1189.000	0.000	1095	1189	1	1	0.000	0.000	1095	1189	0.000	0.000	0.000
5	IMG_6154.JPG:Cali_Pts	0	140.000	0.000	140.000	140.000	140.000	1066.000	1497.000	0.000	1066	1497	1	1	0.000	0.000	1066	1497	0.000	0.000	0.000
6	IMG_6154.JPG:M1	289	156.675	62.926	94.313	76.667	247.135	1163.000	434.500	288.363	1149	291	29	288	-95.572	288.363	1149	578	84.428	0.000	288.363
7	IMG_6154.JPG:M2	305	92.176	7.454	89.543	80.915	188.667	1136.000	729.500	304.113	1123	578	27	304	-94.904	304.113	1123	881	85.096	0.000	304.113
8	IMG_6154.JPG:M3	310	165.263	65.024	235.548	81.857	240.187	1109.000	1035.000	309.270	1095	881	29	309	-95.194	309.270	1095	1189	84.806	0.000	309.270
9	IMG_6154.JPG:M4	310	77.098	10.793	69.562	60.432	139.667	1080.500	1343.000	309.362	1066	1189	30	309	-95.379	309.362	1066	1497	84.621	0.000	309.362
10	IMG_6154.JPG:Pa1b	130471	172.796	44.147	238.000	51.000	255.000	201.829	1270.988	1505.493	35	976	355	536	0.000	537.448	209	1512	82.624	339.720	0.000
11	IMG_6154.JPG:Pa2bpm	97659	139.982	51.521	103.000	46.000	255.000	2118.537	1774.860	1522.829	1966	1476	345	526	0.000	531.606	2177	1476	98.328	324.336	0.000
12	IMG_6154.JPG:Pa3b	86639	133.311	45.270	101.000	39.000	240.000	3498.976	521.041	1065.122	3340	352	308	336	0.000	356.483	3368	406	136.364	304.207	0.000
