 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6145.JPG:Cali_Pts	0	135.000	0.000	135.000	135.000	135.000	784.000	850.000	0.000	784	850	1	1	0.000	0.000	784	850	0.000	0.000	0.000
2	IMG_6145.JPG:Cali_Pts	0	192.000	0.000	192.000	192.000	192.000	763.000	1108.000	0.000	763	1108	1	1	0.000	0.000	763	1108	0.000	0.000	0.000
3	IMG_6145.JPG:Cali_Pts	0	176.000	0.000	176.000	176.000	176.000	741.000	1377.000	0.000	741	1377	1	1	0.000	0.000	741	1377	0.000	0.000	0.000
4	IMG_6145.JPG:M1	260	190.663	54.892	254.734	118.589	255.000	773.500	979.000	258.853	763	850	22	259	-94.653	258.853	763	1108	85.347	0.000	258.853
5	IMG_6145.JPG:M2	271	129.055	16.309	122.992	116.304	204.109	752.000	1242.500	269.898	741	1108	23	270	-94.675	269.898	741	1377	85.325	0.000	269.898
6	IMG_6145.JPG:Pa3	16855	146.461	24.215	130.000	77.000	231.000	416.086	930.469	483.948	341	857	143	147	0.000	162.484	359	877	139.743	141.646	0.000
7	IMG_6145.JPG:Pa4bbpm	19212	151.485	30.682	132.000	74.000	243.000	392.097	1171.079	545.322	331	1072	139	182	0.000	203.404	345	1077	127.208	132.187	0.000
8	IMG_6145.JPG:Pa1bb	20735	165.455	40.172	232.000	81.000	243.000	344.840	1832.183	549.735	277	1739	152	193	0.000	193.313	318	1932	86.738	142.006	0.000
9	IMG_6145.JPG:Pa2bb	18427	145.492	36.094	163.000	43.000	229.000	705.153	2658.038	531.360	632	2576	156	160	0.000	189.011	632	2726	37.476	148.365	0.000
