 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6161.JPG:Cali_Pts	0	117.000	0.000	117.000	117.000	117.000	1518.000	910.000	0.000	1518	910	1	1	0.000	0.000	1518	910	0.000	0.000	0.000
2	IMG_6161.JPG:Cali_Pts	0	151.000	0.000	151.000	151.000	151.000	1520.000	1188.000	0.000	1520	1188	1	1	0.000	0.000	1520	1188	0.000	0.000	0.000
3	IMG_6161.JPG:Cali_Pts	0	203.000	0.000	203.000	203.000	203.000	1523.000	1488.000	0.000	1523	1488	1	1	0.000	0.000	1523	1488	0.000	0.000	0.000
4	IMG_6161.JPG:Cali_Pts	0	98.000	0.000	98.000	98.000	98.000	1523.000	1797.000	0.000	1523	1797	1	1	0.000	0.000	1523	1797	0.000	0.000	0.000
5	IMG_6161.JPG:Cali_Pts	0	103.000	0.000	103.000	103.000	103.000	1523.000	2112.000	0.000	1523	2112	1	1	0.000	0.000	1523	2112	0.000	0.000	0.000
6	IMG_6161.JPG:M1	279	175.583	65.655	254.677	89.480	255.000	1519.000	1049.000	278.007	1518	910	3	279	-89.588	278.007	1518	910	90.412	0.000	278.007
7	IMG_6161.JPG:M2	301	94.720	9.587	91.098	81.357	203.000	1521.500	1338.000	300.015	1520	1188	4	301	-89.427	300.015	1520	1188	90.573	0.000	300.015
8	IMG_6161.JPG:M3	310	178.002	68.423	247.346	92.000	253.333	1523.000	1642.500	309.000	1523	1488	1	310	-90.000	309.000	1523	1488	90.000	0.000	309.000
9	IMG_6161.JPG:M4	316	74.326	6.460	73.989	62.000	104.333	1523.000	1954.500	315.000	1523	1797	1	316	-90.000	315.000	1523	1797	90.000	0.000	315.000
10	IMG_6161.JPG:Pa1bpm	360280	136.029	47.077	117.000	30.000	255.000	1258.987	1526.692	2840.670	889	1125	789	917	0.000	1010.950	1100	2042	64.702	604.635	0.000
