 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6137.JPG:Cali_Pts	0	98.000	0.000	98.000	98.000	98.000	1439.000	528.000	0.000	1439	528	1	1	0.000	0.000	1439	528	0.000	0.000	0.000
2	IMG_6137.JPG:Cali_Pts	0	114.000	0.000	114.000	114.000	114.000	1411.000	796.000	0.000	1411	796	1	1	0.000	0.000	1411	796	0.000	0.000	0.000
3	IMG_6137.JPG:Cali_Pts	0	189.000	0.000	189.000	189.000	189.000	1383.000	1085.000	0.000	1383	1085	1	1	0.000	0.000	1383	1085	0.000	0.000	0.000
4	IMG_6137.JPG:Cali_Pts	0	66.000	0.000	66.000	66.000	66.000	1353.000	1382.000	0.000	1353	1382	1	1	0.000	0.000	1353	1382	0.000	0.000	0.000
5	IMG_6137.JPG:Cali_Pts	0	82.000	0.000	82.000	82.000	82.000	1321.000	1682.000	0.000	1321	1682	1	1	0.000	0.000	1321	1682	0.000	0.000	0.000
6	IMG_6137.JPG:M1	270	144.766	58.265	215.001	77.063	227.009	1425.000	662.000	269.459	1411	528	29	269	-95.964	269.459	1411	796	84.036	0.000	269.459
7	IMG_6137.JPG:M2	291	75.708	10.188	69.175	63.539	189.000	1397.000	940.500	290.353	1383	796	29	290	-95.534	290.353	1383	1085	84.466	0.000	290.353
8	IMG_6137.JPG:M3	300	156.100	55.086	214.842	65.667	218.117	1368.000	1233.500	298.511	1353	1085	31	298	-95.768	298.511	1353	1382	84.232	0.000	298.511
9	IMG_6137.JPG:M4	303	81.267	18.591	67.567	51.646	147.548	1337.000	1532.000	301.702	1321	1382	33	301	-96.089	301.702	1321	1682	83.911	0.000	301.702
10	IMG_6137.JPG:Pa1b	9391	109.637	27.965	101.000	48.000	206.000	887.168	1451.649	371.108	832	1389	121	116	0.000	131.947	834	1415	152.464	93.562	0.000
11	IMG_6137.JPG:Pa2b	11908	126.596	40.382	87.000	52.000	221.000	637.814	2417.562	407.689	577	2353	118	126	0.000	144.170	597	2477	50.347	117.387	0.000
12	IMG_6137.JPG:Pa3b	3648	87.728	25.461	105.000	29.000	150.000	669.059	2176.581	226.595	635	2139	70	71	0.000	81.841	642	2206	54.951	62.410	0.000
