 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P6.jpg:e1	3411	226.489	116.000	251.000	0	0	462.800	503.897	420	472	86	61	0.888	88.769	420	521	14.349	51.809	129.016
2	Adigit_C1_N1_P6.jpg:e2	4249	231.553	93.000	254.000	0	0	527.217	467.281	480	432	91	73	0.888	92.396	480	461	170.028	67.951	129.016
3	Adigit_C1_N1_P6.jpg:e3	3712	229.227	80.000	253.000	0	0	588.093	437.079	550	409	77	68	0.888	80.362	550	420	163.369	65.293	129.016
4	Adigit_C1_N1_P6.jpg:e4	6291	232.488	104.000	255.000	0	0	521.510	361.940	472	322	105	79	0.888	108.467	473	391	18.268	79.000	129.016
5	Adigit_C1_N1_P6.jpg:e5	6265	235.761	87.000	255.000	0	0	445.839	320.626	397	283	106	86	0.888	112.161	399	342	21.991	83.473	129.016
6	Adigit_C1_N1_P6.jpg:e6	7376	238.937	83.000	255.000	0	0	391.865	241.195	341	185	106	111	0.888	113.318	343	216	156.602	81.200	129.016
7	Adigit_C1_N1_P6.jpg:Cali_Pts	0	20.000	20.000	20.000	232	621	232.500	621.500	232	621	1	1	0.888	0.000	232	621	0.000	0.000	129.016
8	Adigit_C1_N1_P6.jpg:Cali_Pts	0	175.000	175.000	175.000	351	629	351.500	629.500	351	629	1	1	0.888	0.000	351	629	0.000	0.000	129.016
9	Adigit_C1_N1_P6.jpg:Cali_Pts	0	27.000	27.000	27.000	514	628	514.500	628.500	514	628	1	1	0.888	0.000	514	628	0.000	0.000	129.016
10	Adigit_C1_N1_P6.jpg:Cali_Pts	0	33.000	33.000	33.000	648	626	648.500	626.500	648	626	1	1	0.888	0.000	648	626	0.000	0.000	129.016
11	Adigit_C1_N1_P6.jpg:Cali_Pts	0	28.000	28.000	28.000	779	622	779.500	622.500	779	622	1	1	0.888	0.000	779	622	0.000	0.000	129.016
12	Adigit_C1_N1_P6.jpg:M1	120	29.622	0.000	183.535	0	0	0.000	0.000	232	621	119	8	-3.846	119.269	232	621	176.154	0.000	119.269
13	Adigit_C1_N1_P6.jpg:M2	164	101.113	2.000	215.724	0	0	0.000	0.000	351	628	163	1	0.352	163.003	351	629	0.352	0.000	163.003
14	Adigit_C1_N1_P6.jpg:M3	135	27.918	0.000	51.159	0	0	0.000	0.000	514	626	134	2	0.855	134.015	514	628	0.855	0.000	134.015
15	Adigit_C1_N1_P6.jpg:M4	132	24.495	0.000	46.537	0	0	0.000	0.000	648	622	131	4	1.749	131.061	648	626	1.749	0.000	131.061
