 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P10.jpg:e1htc	5107	204.667	106.000	248.000	0	0	659.266	252.627	619	208	79	103	-0.862	107.280	641	208	106.239	71.800	133.015
2	Adigit_C1_N1_P10.jpg:e2htc	4669	198.307	98.000	249.000	0	0	622.606	302.750	587	250	83	93	-0.862	93.771	616	250	97.352	74.339	133.015
3	Adigit_C1_N1_P10.jpg:e3ht	5164	206.647	101.000	245.000	0	0	539.094	339.184	502	294	78	98	-0.862	107.168	507	381	49.921	66.016	133.015
4	Adigit_C1_N1_P10.jpg:e4c	5074	209.906	120.000	240.000	0	0	467.812	320.312	435	274	71	99	-0.862	99.081	460	274	92.314	70.087	133.015
5	Adigit_C1_N1_P10.jpg:e5h	4487	219.738	125.000	245.000	0	0	452.040	241.205	420	193	66	91	-0.862	93.048	431	283	69.228	64.809	133.015
6	Adigit_C1_N1_P10.jpg:Cali_Pts	0	35.000	35.000	35.000	166	582	166.500	582.500	166	582	1	1	-0.862	0.000	166	582	0.000	0.000	133.015
7	Adigit_C1_N1_P10.jpg:Cali_Pts	0	34.000	34.000	34.000	301	587	301.500	587.500	301	587	1	1	-0.862	0.000	301	587	0.000	0.000	133.015
8	Adigit_C1_N1_P10.jpg:Cali_Pts	0	46.000	46.000	46.000	435	601	435.500	601.500	435	601	1	1	-0.862	0.000	435	601	0.000	0.000	133.015
9	Adigit_C1_N1_P10.jpg:Cali_Pts	0	55.000	55.000	55.000	565	608	565.500	608.500	565	608	1	1	-0.862	0.000	565	608	0.000	0.000	133.015
10	Adigit_C1_N1_P10.jpg:Cali_Pts	0	25.000	25.000	25.000	708	614	708.500	614.500	708	614	1	1	0.000	0.000	708	614	0.000	0.000	0.000
11	Adigit_C1_N1_P10.jpg:M1	136	48.809	0.000	80.704	0	0	0.000	0.000	166	582	135	5	-2.121	135.093	166	582	177.879	0.000	135.093
12	Adigit_C1_N1_P10.jpg:M2	136	47.380	0.000	79.222	0	0	0.000	0.000	301	587	134	14	-5.964	134.729	301	587	174.036	0.000	134.729
13	Adigit_C1_N1_P10.jpg:M3	131	57.897	0.000	95.667	0	0	0.000	0.000	435	601	130	7	-3.082	130.188	435	601	176.918	0.000	130.188
14	Adigit_C1_N1_P10.jpg:M4	144	54.000	0.000	111.706	0	0	0.000	0.000	565	608	143	6	-2.403	143.126	565	608	177.597	0.000	143.126
