 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P4.jpg:e1	3111	236.775	141.000	248.000	0	0	406.666	129.935	370	101	70	68	-0.415	81.123	370	107	149.642	58.585	138.004
2	Adigit_C1_N1_P4.jpg:e2	4482	230.623	133.000	247.000	0	0	433.395	187.725	394	142	74	87	-0.415	89.889	409	222	57.724	72.954	138.004
3	Adigit_C1_N1_P4.jpg:e3	3506	234.141	163.000	250.000	0	0	449.487	265.923	423	230	67	81	-0.415	84.433	436	310	71.350	66.117	138.004
4	Adigit_C1_N1_P4.jpg:e4	3798	229.068	172.000	244.000	0	0	495.617	303.460	458	265	73	73	-0.415	81.056	464	282	141.009	64.474	138.004
5	Adigit_C1_N1_P4.jpg:e5	5505	231.747	137.000	251.000	0	0	402.200	348.744	362	301	79	100	-0.415	100.717	403	401	83.157	77.405	138.004
6	Adigit_C1_N1_P4.jpg:e6	4211	219.392	102.000	241.000	0	0	453.843	392.278	413	354	81	75	-0.415	87.801	423	425	37.131	65.500	138.004
7	Adigit_C1_N1_P4.jpg:e7	5209	219.199	105.000	249.000	0	0	483.968	458.626	441	419	87	85	-0.415	96.021	467	500	54.324	80.295	138.004
8	Adigit_C1_N1_P4.jpg:Cali_Pts	0	39.000	39.000	39.000	250	619	250.500	619.500	250	619	1	1	-0.415	0.000	250	619	0.000	0.000	138.004
9	Adigit_C1_N1_P4.jpg:Cali_Pts	0	20.000	20.000	20.000	350	623	350.500	623.500	350	623	1	1	-0.415	0.000	350	623	0.000	0.000	138.004
10	Adigit_C1_N1_P4.jpg:Cali_Pts	0	34.000	34.000	34.000	498	627	498.500	627.500	498	627	1	1	-0.415	0.000	498	627	0.000	0.000	138.004
11	Adigit_C1_N1_P4.jpg:Cali_Pts	0	30.000	30.000	30.000	645	628	645.500	628.500	645	628	1	1	-0.415	0.000	645	628	0.000	0.000	138.004
12	Adigit_C1_N1_P4.jpg:Cali_Pts	0	32.000	32.000	32.000	785	627	785.500	627.500	785	627	1	1	-0.415	0.000	785	627	0.000	0.000	138.004
13	Adigit_C1_N1_P4.jpg:M1	101	45.998	1.373	56.000	0	0	0.000	0.000	250	619	100	4	-2.291	100.080	250	619	177.709	0.000	100.080
14	Adigit_C1_N1_P4.jpg:M2	149	32.908	0.000	60.667	0	0	0.000	0.000	350	623	148	4	-1.548	148.054	350	623	178.452	0.000	148.054
15	Adigit_C1_N1_P4.jpg:M3	148	26.925	0.000	45.143	0	0	0.000	0.000	498	627	147	1	-0.390	147.003	498	627	179.610	0.000	147.003
16	Adigit_C1_N1_P4.jpg:M4	141	26.590	0.000	51.817	0	0	0.000	0.000	645	627	140	1	0.409	140.004	645	628	0.409	0.000	140.004
