 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P3.jpg:e1	4518	228.090	138.000	247.000	0	0	428.475	424.410	389	378	77	90	0.415	93.680	416	468	73.887	69.732	138.004
2	Adigit_C1_N1_P3.jpg:e2	6200	233.256	141.000	248.000	0	0	372.190	383.560	313	340	113	87	0.415	114.935	313	392	10.528	83.819	138.004
3	Adigit_C1_N1_P3.jpg:e3	6140	236.879	132.000	253.000	0	0	297.078	336.171	255	285	94	105	0.415	110.136	269	286	110.739	76.694	138.004
4	Adigit_C1_N1_P3.jpg:e4	7368	236.421	139.000	254.000	0	0	430.758	225.137	379	177	96	98	0.415	108.208	392	256	43.877	96.000	138.004
5	Adigit_C1_N1_P3.jpg:e5	7266	231.910	141.000	255.000	0	0	520.742	219.138	473	171	97	94	0.415	113.230	481	187	141.814	93.260	138.004
6	Adigit_C1_N1_P3.jpg:e6	4662	234.381	134.000	255.000	0	0	592.797	197.164	557	154	73	96	0.415	103.078	578	250	67.166	68.972	138.004
7	Adigit_C1_N1_P3.jpg:e7	4365	230.677	142.000	255.000	0	0	649.559	210.241	612	171	77	80	0.415	94.795	617	247	46.710	61.130	138.004
8	Adigit_C1_N1_P3.jpg:e8	4786	232.189	150.000	255.000	0	0	709.001	233.304	670	191	79	87	0.415	97.637	685	278	57.124	66.165	138.004
9	Adigit_C1_N1_P3.jpg:Cali_Pts	0	50.000	50.000	50.000	234	623	234.500	623.500	234	623	1	1	0.415	0.000	234	623	0.000	0.000	138.004
10	Adigit_C1_N1_P3.jpg:Cali_Pts	0	69.000	69.000	69.000	370	624	370.500	624.500	370	624	1	1	0.415	0.000	370	624	0.000	0.000	138.004
11	Adigit_C1_N1_P3.jpg:Cali_Pts	0	63.000	63.000	63.000	511	629	511.500	629.500	511	629	1	1	0.415	0.000	511	629	0.000	0.000	138.004
12	Adigit_C1_N1_P3.jpg:Cali_Pts	0	54.000	54.000	54.000	649	629	649.500	629.500	649	629	1	1	0.415	0.000	649	629	0.000	0.000	138.004
13	Adigit_C1_N1_P3.jpg:Cali_Pts	0	54.000	54.000	54.000	787	630	787.500	630.500	787	630	1	1	0.415	0.000	787	630	0.000	0.000	138.004
14	Adigit_C1_N1_P3.jpg:M1	137	67.341	0.000	107.348	0	0	0.000	0.000	234	623	136	1	-0.421	136.004	234	623	179.579	0.000	136.004
15	Adigit_C1_N1_P3.jpg:M2	142	73.724	0.333	112.447	0	0	0.000	0.000	370	624	141	5	-2.031	141.089	370	624	177.969	0.000	141.089
16	Adigit_C1_N1_P3.jpg:M3	139	67.106	0.000	106.000	0	0	0.000	0.000	511	629	138	0	0.000	138.000	511	629	0.000	0.000	138.000
17	Adigit_C1_N1_P3.jpg:M4	139	67.550	0.000	106.333	0	0	0.000	0.000	649	629	138	1	-0.415	138.004	649	629	179.585	0.000	138.004
