 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P8.jpg:e1	4679	224.950	100.000	247.000	0	0	392.011	422.744	351	383	80	80	1.989	91.924	352	399	149.250	70.641	144.087
2	Adigit_C1_N1_P8.jpg:e2	3474	221.265	130.000	242.000	0	0	444.415	364.669	409	325	69	77	1.989	87.132	425	326	121.866	54.083	144.087
3	Adigit_C1_N1_P8.jpg:e3	4285	224.175	150.000	247.000	0	0	527.381	234.412	491	201	76	71	1.989	94.175	496	265	41.987	69.201	144.087
4	Adigit_C1_N1_P8.jpg:e4	4477	219.133	137.000	247.000	0	0	593.908	238.640	557	203	78	76	1.989	99.358	563	279	49.899	64.399	144.087
5	Adigit_C1_N1_P8.jpg:e5	4488	220.414	99.000	248.000	0	0	544.949	304.383	497	275	106	58	1.989	106.963	499	321	13.517	55.328	144.087
6	Adigit_C1_N1_P8.jpg:e6	4941	197.006	85.000	248.000	0	0	649.836	297.491	591	266	112	64	1.989	121.462	591	326	22.765	57.868	144.087
7	Adigit_C1_N1_P8.jpg:Cali_Pts	0	35.000	35.000	35.000	243	614	243.500	614.500	243	614	1	1	1.989	0.000	243	614	0.000	0.000	144.087
8	Adigit_C1_N1_P8.jpg:Cali_Pts	0	43.000	43.000	43.000	384	619	384.500	619.500	384	619	1	1	1.989	0.000	384	619	0.000	0.000	144.087
9	Adigit_C1_N1_P8.jpg:Cali_Pts	0	59.000	59.000	59.000	522	618	522.500	618.500	522	618	1	1	1.989	0.000	522	618	0.000	0.000	144.087
10	Adigit_C1_N1_P8.jpg:Cali_Pts	0	46.000	46.000	46.000	656	618	656.500	618.500	656	618	1	1	1.989	0.000	656	618	0.000	0.000	144.087
11	Adigit_C1_N1_P8.jpg:Cali_Pts	0	44.000	44.000	44.000	785	613	785.500	613.500	785	613	1	1	1.989	0.000	785	613	0.000	0.000	144.087
12	Adigit_C1_N1_P8.jpg:M1	142	39.547	0.000	68.506	0	0	0.000	0.000	243	614	141	5	-2.031	141.089	243	614	177.969	0.000	141.089
13	Adigit_C1_N1_P8.jpg:M2	139	54.498	0.000	93.058	0	0	0.000	0.000	384	618	138	1	0.415	138.004	384	619	0.415	0.000	138.004
14	Adigit_C1_N1_P8.jpg:M3	135	47.207	0.000	75.667	0	0	0.000	0.000	522	618	134	0	0.000	134.000	522	618	0.000	0.000	134.000
15	Adigit_C1_N1_P8.jpg:M4	130	45.443	0.000	79.705	0	0	0.000	0.000	656	613	129	5	2.220	129.097	656	618	2.220	0.000	129.097
