 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P7.jpg:e1	5163	226.517	114.000	255.000	0	0	625.991	206.727	582	166	88	85	1.749	98.595	599	251	49.525	68.400	131.061
2	Adigit_C1_N1_P7.jpg:e2	3914	221.667	144.000	242.000	0	0	564.010	266.915	533	218	67	93	1.749	97.417	550	311	72.681	57.267	131.061
3	Adigit_C1_N1_P7.jpg:e3	4288	236.672	175.000	253.000	0	0	539.628	225.627	506	176	72	109	1.749	121.202	509	285	64.069	50.982	131.061
4	Adigit_C1_N1_P7.jpg:e4	4425	230.361	101.000	253.000	0	0	724.229	283.012	692	239	72	99	1.749	99.323	720	239	94.620	66.971	131.061
5	Adigit_C1_N1_P7.jpg:e5	3779	232.419	112.000	252.000	0	0	764.216	317.475	728	272	74	94	1.749	101.390	735	366	67.989	60.382	131.061
6	Adigit_C1_N1_P7.jpg:e6	4719	233.131	159.000	244.000	0	0	780.013	374.786	743	330	72	84	1.749	99.865	748	414	55.196	69.682	131.061
7	Adigit_C1_N1_P7.jpg:e7	4165	229.190	188.000	245.000	0	0	785.256	444.525	751	409	70	75	1.749	79.480	775	484	68.600	70.000	131.061
8	Adigit_C1_N1_P7.jpg:Cali_Pts	0	52.000	52.000	52.000	376	614	376.500	614.500	376	614	1	1	1.749	0.000	376	614	0.000	0.000	131.061
9	Adigit_C1_N1_P7.jpg:Cali_Pts	0	54.000	54.000	54.000	509	618	509.500	618.500	509	618	1	1	1.749	0.000	509	618	0.000	0.000	131.061
10	Adigit_C1_N1_P7.jpg:Cali_Pts	0	32.000	32.000	32.000	634	618	634.500	618.500	634	618	1	1	1.749	0.000	634	618	0.000	0.000	131.061
11	Adigit_C1_N1_P7.jpg:Cali_Pts	0	38.000	38.000	38.000	775	623	775.500	623.500	775	623	1	1	1.749	0.000	775	623	0.000	0.000	131.061
12	Adigit_C1_N1_P7.jpg:Cali_Pts	0	61.000	61.000	61.000	919	618	919.500	618.500	919	618	1	1	1.749	0.000	919	618	0.000	0.000	131.061
13	Adigit_C1_N1_P7.jpg:M1	134	70.205	0.000	111.997	0	0	0.000	0.000	376	614	133	4	-1.723	133.060	376	614	178.277	0.000	133.060
14	Adigit_C1_N1_P7.jpg:M2	126	43.349	0.000	74.667	0	0	0.000	0.000	509	618	125	0	0.000	125.000	509	618	0.000	0.000	125.000
15	Adigit_C1_N1_P7.jpg:M3	142	30.944	0.000	62.180	0	0	0.000	0.000	634	618	141	5	-2.031	141.089	634	618	177.969	0.000	141.089
16	Adigit_C1_N1_P7.jpg:M4	145	74.216	0.000	122.333	0	0	0.000	0.000	775	618	144	5	1.989	144.087	775	623	1.989	8.882E-16	144.087
