 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P5.jpg:e1	6086	214.152	102.000	251.000	0	0	349.783	203.352	306	144	80	112	0.409	119.202	312	248	59.778	71.244	140.004
2	Adigit_C1_N1_P5.jpg:e2	4441	206.825	112.000	248.000	0	0	444.872	161.421	406	118	75	90	0.409	97.309	432	208	67.652	60.536	140.004
3	Adigit_C1_N1_P5.jpg:e3	7124	208.255	110.000	249.000	0	0	358.527	303.921	306	254	101	105	0.409	127.562	306	267	138.814	74.907	140.004
4	Adigit_C1_N1_P5.jpg:e4	7620	215.049	108.000	249.000	0	0	547.220	333.949	494	277	104	114	0.409	134.402	500	386	53.471	79.389	140.004
5	Adigit_C1_N1_P5.jpg:e5	4726	220.873	115.000	249.000	0	0	565.608	265.466	517	225	98	77	0.409	106.452	517	287	25.602	57.101	140.004
6	Adigit_C1_N1_P5.jpg:Cali_Pts	0	25.000	25.000	25.000	248	615	248.500	615.500	248	615	1	1	0.409	0.000	248	615	0.000	0.000	140.004
7	Adigit_C1_N1_P5.jpg:Cali_Pts	0	21.000	21.000	21.000	388	615	388.500	615.500	388	615	1	1	0.409	0.000	388	615	0.000	0.000	140.004
8	Adigit_C1_N1_P5.jpg:Cali_Pts	0	44.000	44.000	44.000	513	621	513.500	621.500	513	621	1	1	0.409	0.000	513	621	0.000	0.000	140.004
9	Adigit_C1_N1_P5.jpg:Cali_Pts	0	27.000	27.000	27.000	646	620	646.500	620.500	646	620	1	1	0.409	0.000	646	620	0.000	0.000	140.004
10	Adigit_C1_N1_P5.jpg:Cali_Pts	0	33.000	33.000	33.000	775	618	775.500	618.500	775	618	1	1	0.409	0.000	775	618	0.000	0.000	140.004
11	Adigit_C1_N1_P5.jpg:M1	141	38.544	0.000	97.333	0	0	0.000	0.000	248	615	140	0	0.000	140.000	248	615	0.000	0.000	140.000
12	Adigit_C1_N1_P5.jpg:M2	126	46.027	0.000	77.136	0	0	0.000	0.000	388	615	125	6	-2.748	125.144	388	615	177.252	0.000	125.144
13	Adigit_C1_N1_P5.jpg:M3	134	34.506	0.000	58.992	0	0	0.000	0.000	513	620	133	1	0.431	133.004	513	621	0.431	0.000	133.004
14	Adigit_C1_N1_P5.jpg:M4	130	33.552	0.000	62.367	0	0	0.000	0.000	646	618	129	2	0.888	129.016	646	620	0.888	0.000	129.016
