 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P2.jpg:e1	5952	237.529	165.000	253.000	0	0	537.964	173.676	490	133	98	85	-2.403	102.215	490	144	149.421	81.357	143.126
2	Adigit_C1_N1_P2.jpg:e2	3586	232.872	174.000	249.000	0	0	610.447	216.172	576	176	69	75	-2.403	77.130	598	251	76.504	66.261	143.126
3	Adigit_C1_N1_P2.jpg:e3	2810	228.491	132.000	248.000	0	0	640.311	266.640	603	242	78	58	-2.403	82.462	605	285	22.834	51.983	143.126
4	Adigit_C1_N1_P2.jpg:e4	5387	232.399	148.000	249.000	0	0	505.267	307.705	468	263	73	96	-2.403	99.368	488	264	110.624	71.940	143.126
5	Adigit_C1_N1_P2.jpg:e5	5091	238.236	172.000	252.000	0	0	443.980	246.265	397	202	86	84	-2.403	91.924	397	234	157.620	75.952	143.126
6	Adigit_C1_N1_P2.jpg:e6	3519	245.223	195.000	254.000	0	0	420.340	187.696	387	156	71	68	-2.403	77.078	387	167	157.094	65.978	143.126
7	Adigit_C1_N1_P2.jpg:Cali_Pts	0	68.000	68.000	68.000	250	621	250.500	621.500	250	621	1	1	-2.403	0.000	250	621	0.000	0.000	143.126
8	Adigit_C1_N1_P2.jpg:Cali_Pts	0	64.000	64.000	64.000	389	626	389.500	626.500	389	626	1	1	-2.403	0.000	389	626	0.000	0.000	143.126
9	Adigit_C1_N1_P2.jpg:Cali_Pts	0	53.000	53.000	53.000	521	629	521.500	629.500	521	629	1	1	-2.403	0.000	521	629	0.000	0.000	143.126
10	Adigit_C1_N1_P2.jpg:Cali_Pts	0	25.000	25.000	25.000	648	631	648.500	631.500	648	631	1	1	-2.403	0.000	648	631	0.000	0.000	143.126
11	Adigit_C1_N1_P2.jpg:Cali_Pts	0	49.000	49.000	49.000	786	630	786.500	630.500	786	630	1	1	-2.403	0.000	786	630	0.000	0.000	143.126
12	Adigit_C1_N1_P2.jpg:M1	140	77.462	0.000	152.770	0	0	0.000	0.000	250	621	139	5	-2.060	139.090	250	621	177.940	0.000	139.090
13	Adigit_C1_N1_P2.jpg:M2	133	76.574	0.000	117.000	0	0	0.000	0.000	389	626	132	3	-1.302	132.034	389	626	178.698	0.000	132.034
14	Adigit_C1_N1_P2.jpg:M3	128	73.530	0.000	147.333	0	0	0.000	0.000	521	629	127	2	-0.902	127.016	521	629	179.098	0.000	127.016
15	Adigit_C1_N1_P2.jpg:M4	139	79.496	0.333	132.217	0	0	0.000	0.000	648	630	138	1	0.415	138.004	648	631	0.415	0.000	138.004
